        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.10400000e+02,        +7.287792842584e-13,        +7.511819356060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.075192753903e-13,        +9.510467807072e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.067878282930e-13,        +9.510305453706e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +7.300107330647e-13,        +7.503157975608e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.126519523475e-13,        +9.437797609586e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.119170054105e-13,        +9.437633979247e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +7.312322060803e-13,        +7.494497340184e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.177503582490e-13,        +9.366110105606e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.170118483733e-13,        +9.365943462658e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +7.324429787828e-13,        +7.485838466475e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.228133770770e-13,        +9.295420638581e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.220712437698e-13,        +9.295249223868e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +7.336423329126e-13,        +7.477182429417e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.278399609561e-13,        +9.225743675476e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.270941463421e-13,        +9.225565707879e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +7.348295570105e-13,        +7.468530359698e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.328291279191e-13,        +9.157092840531e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.320795767450e-13,        +9.156906518541e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +7.360039469580e-13,        +7.459883441371e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.377799596583e-13,        +9.089480949412e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.370266192908e-13,        +9.089284452715e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.21600000e+02,        +7.371648065181e-13,        +7.451242909551e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.426915992705e-13,        +9.022920043686e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.419344196879e-13,        +9.022711534755e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.23200000e+02,        +7.383114478758e-13,        +7.442610048195e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.475632489994e-13,        +8.957421425535e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.468021827774e-13,        +8.957199051233e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.24800000e+02,        +7.394431921782e-13,        +7.433986187937e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.523941679831e-13,        +8.892995692651e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.516291702741e-13,        +8.892757585838e-13,        +0.000000000000e+00,        +0.000000000000e+00
