        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.02400000e+02,        +8.288823247149e-13,        +1.261305061932e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291580496867e-13,        +1.261137450784e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291058921733e-13,        +1.261608769371e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.288885712778e-13,        +1.261828150986e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +8.414267317581e-13,        +1.275631583043e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.417128935040e-13,        +1.275480995583e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.416659096732e-13,        +1.275961508125e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.414409529136e-13,        +1.276165836545e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +8.548478378483e-13,        +1.290245734325e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551448378259e-13,        +1.290112650401e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551035094911e-13,        +1.290602544752e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.548706035554e-13,        +1.290791108235e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +8.691620920123e-13,        +1.305135236144e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694703537123e-13,        +1.305020114429e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694351853089e-13,        +1.305519570881e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.691940205862e-13,        +1.305691667103e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08800000e+02,        +8.843837000261e-13,        +1.320284996067e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.847036675778e-13,        +1.320188284475e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.846751835540e-13,        +1.320697458386e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.844254563592e-13,        +1.320852414027e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10400000e+02,        +9.005241752665e-13,        +1.335676821500e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.008563091503e-13,        +1.335598961326e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.008350519619e-13,        +1.336117970924e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.005764643563e-13,        +1.336255155629e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +9.175918432658e-13,        +1.351289127291e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.179366142120e-13,        +1.351230550549e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.179231430190e-13,        +1.351759470514e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.176554014791e-13,        +1.351878304913e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +9.355913012179e-13,        +1.367096643746e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.359491832986e-13,        +1.367057765248e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.359440731122e-13,        +1.367596624640e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.356668872512e-13,        +1.367696584169e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +9.545228354685e-13,        +1.383070131951e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.548942989710e-13,        +1.383051338234e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.548981398840e-13,        +1.383600120771e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.546112219854e-13,        +1.383680737483e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +9.743818022124e-13,        +1.399176114772e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.747673064713e-13,        +1.399177751594e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.747807026465e-13,        +1.399736396626e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.744837683109e-13,        +1.399797260756e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +9.951579791857e-13,        +1.415376633498e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.955579653006e-13,        +1.415398992969e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.955815334946e-13,        +1.415967396154e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.952743034033e-13,        +1.416008158437e-12,        +0.000000000000e+00,        +0.000000000000e+00
