        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 1.07200000e+02,        -5.953165675771e+00,        +1.391953024372e+02,        -7.587625185561e+00,        -5.772625670558e+01,        -4.849215445980e+00,        -1.073467162358e+02,        -8.330387387498e+00,        -8.323045472830e+01,        -7.587625185561e+00,        -5.772625670558e+01,        -5.955342663818e+00,        +1.392276363362e+02,        -8.326768762605e+00,        -8.321597661269e+01,        -4.849055129438e+00,        -1.073469285008e+02,        -4.849215445980e+00,        -1.073467162358e+02,        -8.326768762606e+00,        -8.321597661269e+01,        -5.952436612340e+00,        +1.391885591711e+02,        -7.591957377077e+00,        -5.770646935051e+01,        -8.330387387498e+00,        -8.323045472830e+01,        -4.849055129438e+00,        -1.073469285008e+02,        -7.591957377077e+00,        -5.770646935051e+01,        -5.950686435060e+00,        +1.391571504655e+02
 1.08800000e+02,        -6.049705382410e+00,        +1.378545065785e+02,        -7.556348960963e+00,        -5.818569129641e+01,        -4.783771756500e+00,        -1.091099072867e+02,        -8.399913860005e+00,        -8.457278366794e+01,        -7.556348960963e+00,        -5.818569129641e+01,        -6.051997286369e+00,        +1.378868487798e+02,        -8.396177455717e+00,        -8.455882395869e+01,        -4.783607948741e+00,        -1.091101630496e+02,        -4.783771756500e+00,        -1.091099072867e+02,        -8.396177455717e+00,        -8.455882395869e+01,        -6.048978674822e+00,        +1.378462825422e+02,        -7.560715023632e+00,        -5.816452702899e+01,        -8.399913860005e+00,        -8.457278366794e+01,        -4.783607948741e+00,        -1.091101630496e+02,        -7.560715023632e+00,        -5.816452702899e+01,        -6.047147155971e+00,        +1.378148027641e+02
 1.10400000e+02,        -6.154213319126e+00,        +1.364837073228e+02,        -7.519670899794e+00,        -5.864739336482e+01,        -4.717349972089e+00,        -1.108912514931e+02,        -8.473243511022e+00,        -8.592896112616e+01,        -7.519670899794e+00,        -5.864739336482e+01,        -6.156628210642e+00,        +1.365160137516e+02,        -8.469386216411e+00,        -8.591557546892e+01,        -4.717182886632e+00,        -1.108915533769e+02,        -4.717349972089e+00,        -1.108912514931e+02,        -8.469386216411e+00,        -8.591557546892e+01,        -6.153490583003e+00,        +1.364738840148e+02,        -7.524060508165e+00,        -5.862482281854e+01,        -8.473243511022e+00,        -8.592896112616e+01,        -4.717182886632e+00,        -1.108915533769e+02,        -7.524060508165e+00,        -5.862482281854e+01,        -6.151572653458e+00,        +1.364423729808e+02
 1.12000000e+02,        -6.267189949450e+00,        +1.350820824855e+02,        -7.477443042025e+00,        -5.911401203274e+01,        -4.650071524301e+00,        -1.126914624703e+02,        -8.550780888551e+00,        -8.729912478702e+01,        -7.477443042025e+00,        -5.911401203274e+01,        -6.269736638303e+00,        +1.351143054866e+02,        -8.546799474353e+00,        -8.728637303013e+01,        -4.649901400374e+00,        -1.126918130850e+02,        -4.650071524301e+00,        -1.126914624703e+02,        -8.546799474353e+00,        -8.728637303013e+01,        -6.266472954258e+00,        +1.350705314299e+02,        -7.481845288952e+00,        -5.909001137183e+01,        -8.550780888551e+00,        -8.729912478702e+01,        -4.649901400374e+00,        -1.126918130850e+02,        -7.481845288952e+00,        -5.909001137183e+01,        -6.264463072783e+00,        +1.350390325065e+02
 1.13600000e+02,        -6.389177662889e+00,        +1.336487839641e+02,        -7.429546756312e+00,        -5.958839990154e+01,        -4.582068568202e+00,        -1.145112247091e+02,        -8.632965675408e+00,        -8.868326901829e+01,        -7.429546756312e+00,        -5.958839990154e+01,        -6.391865778495e+00,        +1.336808718706e+02,        -8.628856788445e+00,        -8.867121568493e+01,        -4.581895668774e+00,        -1.145116266492e+02,        -4.582068568202e+00,        -1.145112247091e+02,        -8.628856788445e+00,        -8.867121568493e+01,        -6.388468342022e+00,        +1.336353656006e+02,        -7.433950238181e+00,        -5.956295143285e+01,        -8.632965675408e+00,        -8.868326901829e+01,        -4.581895668774e+00,        -1.145116266492e+02,        -7.433950238181e+00,        -5.956295143285e+01,        -6.386360442381e+00,        +1.336039260751e+02
 1.15200000e+02,        -6.520764649407e+00,        +1.321829367800e+02,        -7.375897801525e+00,        -6.007360134486e+01,        -4.513484150003e+00,        -1.163511864634e+02,        -8.720274856051e+00,        -9.008121751385e+01,        -7.375897801525e+00,        -6.007360134486e+01,        -6.523604734979e+00,        +1.322148334189e+02,        -8.716035014966e+00,        -9.006993235225e+01,        -4.513308760913e+00,        -1.163516423109e+02,        -4.513484150003e+00,        -1.163511864634e+02,        -8.716035014966e+00,        -9.006993235225e+01,        -6.520065109010e+00,        +1.321674991884e+02,        -7.380290719652e+00,        -6.004669406216e+01,        -8.720274856051e+00,        -9.008121751385e+01,        -4.513308760913e+00,        -1.163516423109e+02,        -7.380290719652e+00,        -6.004669406216e+01,        -6.517852542463e+00,        +1.321361707091e+02
 1.16800000e+02,        -6.662589223629e+00,        +1.306836369930e+02,        -7.316451402013e+00,        -6.057283540236e+01,        -4.444472273758e+00,        -1.182119520226e+02,        -8.813224897330e+00,        -9.149259189718e+01,        -7.316451402013e+00,        -6.057283540236e+01,        -6.665592844423e+00,        +1.307152811151e+02,        -8.808850490828e+00,        -9.148215052069e+01,        -4.444294703940e+00,        -1.182124643504e+02,        -4.444472273758e+00,        -1.182119520226e+02,        -8.808850490828e+00,        -9.148215052069e+01,        -6.661901749597e+00,        +1.306660144212e+02,        -7.320821678891e+00,        -6.054446544453e+01,        -8.813224897330e+00,        -9.149259189718e+01,        -4.444294703940e+00,        -1.182124643504e+02,        -7.320821678891e+00,        -6.054446544453e+01,        -6.659577220785e+00,        +1.306348535223e+02
 1.18400000e+02,        -6.815344683855e+00,        +1.291499480419e+02,        -7.251207197232e+00,        -6.108947298335e+01,        -4.375197845826e+00,        -1.200940734015e+02,        -8.912373912693e+00,        -9.291677572298e+01,        -7.251207197232e+00,        -6.108947298335e+01,        -6.818524551376e+00,        +1.291812726598e+02,        -8.907861201525e+00,        -9.290726035322e+01,        -4.375018428401e+00,        -1.200946447759e+02,        -4.375197845826e+00,        -1.200940734015e+02,        -8.907861201525e+00,        -9.290726035322e+01,        -6.814671746113e+00,        +1.291299592012e+02,        -7.255542605852e+00,        -6.105964398829e+01,        -8.912373912693e+00,        -9.291677572298e+01,        -4.375018428401e+00,        -1.200946447759e+02,        -7.255542605852e+00,        -6.105964398829e+01,        -6.812227240322e+00,        +1.290990279287e+02
 1.20000000e+02,        -6.979784813949e+00,        +1.275808949327e+02,        -7.180213910910e+00,        -6.162700825886e+01,        -4.305836474457e+00,        -1.219980415089e+02,        -9.018323771179e+00,        -9.435287322546e+01,        -7.180213910910e+00,        -6.162700825886e+01,        -6.983154928579e+00,        +1.276118265454e+02,        -9.013668895400e+00,        -9.434437355504e+01,        -4.305655568425e+00,        -1.219986744884e+02,        -4.305836474457e+00,        -1.219980415089e+02,        -9.013668895400e+00,        -9.434437355504e+01,        -6.979129066663e+00,        +1.275583410140e+02,        -7.184502214825e+00,        -6.159573159575e+01,        -9.018323771179e+00,        -9.435287322546e+01,        -4.305655568425e+00,        -1.219986744884e+02,        -7.184502214825e+00,        -6.159573159575e+01,        -6.976555766455e+00,        +1.275277076709e+02
 1.21600000e+02,        -7.156730166008e+00,        +1.259754555243e+02,        -7.103573574716e+00,        -6.218902432100e+01,        -4.236574101072e+00,        -1.239242768847e+02,        -9.131722102314e+00,        -9.579966205340e+01,        -7.103573574716e+00,        -6.218902432100e+01,        -7.160305981238e+00,        +1.260059131994e+02,        -9.126921095731e+00,        -9.579227624801e+01,        -4.236392093365e+00,        -1.239249740152e+02,        -4.236574101073e+00,        -1.239242768847e+02,        -9.126921095731e+00,        -9.579227624801e+01,        -7.156094441835e+00,        +1.259501178766e+02,        -7.107802675862e+00,        -6.215631918565e+01,        -9.131722102314e+00,        -9.579966205340e+01,        -4.236392093366e+00,        -1.239249740152e+02,        -7.107802675862e+00,        -6.215631918565e+01,        -7.153382630972e+00,        +1.259198579108e+02
