        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 1.00800000e+02,        +1.414213562373e-01,        +8.143844510569e-02,        +4.317480549278e-02,        +3.284794975919e-02,        -4.843014373453e-02,        -1.428324056412e-02,        -7.731990309266e-02,        +1.158967098174e-02,        -5.454127865114e-02,        +1.414213562373e-01,        +3.284794975919e-02,        -4.843014373453e-02,        +8.142843406265e-02,        +4.312959325028e-02,        +1.161019288938e-02,        -5.456399749870e-02,        -1.428522246402e-02,        -7.731944763111e-02,        +1.414213562373e-01,        -1.428324056412e-02,        -7.731990309266e-02,        +1.161019288938e-02,        -5.456399749870e-02,        +8.142648484590e-02,        +4.312742194969e-02,        +3.284800786708e-02,        -4.842905509400e-02,        +1.414213562373e-01,        +1.158967098174e-02,        -5.454127865114e-02,        -1.428522246402e-02,        -7.731944763111e-02,        +3.284800786708e-02,        -4.842905509400e-02,        +8.143856352058e-02,        +4.317566127962e-02
 1.02400000e+02,        +1.414213562373e-01,        +8.284545009358e-02,        +4.410039471423e-02,        +3.249133211556e-02,        -4.876398272653e-02,        -1.668432069158e-02,        -7.740020725323e-02,        +1.028945446138e-02,        -5.442535575137e-02,        +1.414213562373e-01,        +3.249133211556e-02,        -4.876398272653e-02,        +8.283502850801e-02,        +4.405499462646e-02,        +1.030916610802e-02,        -5.444934667615e-02,        -1.668634732761e-02,        -7.739969142738e-02,        +1.414213562373e-01,        -1.668432069158e-02,        -7.740020725323e-02,        +1.030916610802e-02,        -5.444934667615e-02,        +8.283293237718e-02,        +4.405275537288e-02,        +3.249144716585e-02,        -4.876288199191e-02,        +1.414213562373e-01,        +1.028945446138e-02,        -5.442535575137e-02,        -1.668634732760e-02,        -7.739969142738e-02,        +3.249144716585e-02,        -4.876288199191e-02,        +8.284553856931e-02,        +4.410113864300e-02
 1.04000000e+02,        +1.414213562373e-01,        +8.432350781373e-02,        +4.498270291971e-02,        +3.215393405227e-02,        -4.911793404194e-02,        -1.912697781041e-02,        -7.741646908522e-02,        +8.986527594414e-03,        -5.426745928292e-02,        +1.414213562373e-01,        +3.215393405227e-02,        -4.911793404194e-02,        +8.431270389357e-02,        +4.493715572634e-02,        +9.005338291586e-03,        -5.429271387965e-02,        -1.912904998616e-02,        -7.741588943243e-02,        +1.414213562373e-01,        -1.912697781041e-02,        -7.741646908522e-02,        +9.005338291586e-03,        -5.429271387965e-02,        +8.431045058014e-02,        +4.493484935155e-02,        +3.215410757189e-02,        -4.911682425658e-02,        +1.414213562373e-01,        +8.986527594414e-03,        -5.426745928292e-02,        -1.912904998616e-02,        -7.741588943243e-02,        +3.215410757189e-02,        -4.911682425658e-02,        +8.432355977948e-02,        +4.498332620896e-02
 1.05600000e+02,        +1.414213562373e-01,        +8.587261176862e-02,        +4.581669117127e-02,        +3.183457937918e-02,        -4.949489656524e-02,        -2.161115831159e-02,        -7.736468678285e-02,        +7.681950910156e-03,        -5.406566400370e-02,        +1.414213562373e-01,        +3.183457937918e-02,        -4.949489656524e-02,        +8.586145801820e-02,        +4.577103662163e-02,        +7.699766853274e-03,        -5.409216878743e-02,        -2.161327680035e-02,        -7.736403958155e-02,        +1.414213562373e-01,        -2.161115831159e-02,        -7.736468678285e-02,        +7.699766853273e-03,        -5.409216878743e-02,        +8.585903663634e-02,        +4.576866449189e-02,        +3.183481272429e-02,        -4.949378091775e-02,        +1.414213562373e-01,        +7.681950910157e-03,        -5.406566400370e-02,        -2.161327680035e-02,        -7.736403958155e-02,        +3.183481272429e-02,        -4.949378091775e-02,        +8.587261989366e-02,        +4.581718489254e-02
 1.07200000e+02,        +1.414213562373e-01,        +8.749245986173e-02,        +4.659708266864e-02,        +3.153182043898e-02,        -4.989784496879e-02,        -2.413654016433e-02,        -7.724058966583e-02,        +6.377025638190e-03,        -5.381793433881e-02,        +1.414213562373e-01,        +3.153182043898e-02,        -4.989784496879e-02,        +8.748099318990e-02,        +4.655135911335e-02,        +6.393750009974e-03,        -5.384567026135e-02,        -2.413870570566e-02,        -7.723987091229e-02,        +1.414213562373e-01,        -2.413654016433e-02,        -7.724058966583e-02,        +6.393750009974e-03,        -5.384567026135e-02,        +8.747839221953e-02,        +4.654892320730e-02,        +3.153211477759e-02,        -4.989672678345e-02,        +1.414213562373e-01,        +6.377025638190e-03,        -5.381793433881e-02,        -2.413870570566e-02,        -7.723987091229e-02,        +3.153211477759e-02,        -4.989672678345e-02,        +8.749241602813e-02,        +4.659743778630e-02
 1.08800000e+02,        +1.414213562373e-01,        +8.918241517775e-02,        +4.731836832439e-02,        +3.124390895802e-02,        -5.032981461462e-02,        -2.670249131319e-02,        -7.703964403597e-02,        +5.073325166858e-03,        -5.352213964412e-02,        +1.414213562373e-01,        +3.124390895802e-02,        -5.032981461462e-02,        +8.917067697392e-02,        +4.727261226994e-02,        +5.088858284685e-03,        -5.355108157952e-02,        -2.670470460402e-02,        -7.703884941514e-02,        +1.414213562373e-01,        -2.670249131319e-02,        -7.703964403597e-02,        +5.088858284685e-03,        -5.355108157952e-02,        +8.916788425072e-02,        +4.727011526637e-02,        +3.124426525230e-02,        -5.032869733905e-02,        +1.414213562373e-01,        +5.073325166858e-03,        -5.352213964412e-02,        -2.670470460402e-02,        -7.703884941514e-02,        +3.124426525230e-02,        -5.032869733906e-02,        +8.918231045028e-02,        +4.731857573067e-02
 1.10400000e+02,        +1.414213562373e-01,        +9.094146393728e-02,        +4.797481696775e-02,        +3.096876550007e-02,        -5.079388169270e-02,        -2.930802536787e-02,        -7.675706375748e-02,        +3.772727774791e-03,        -5.317607432244e-02,        +1.414213562373e-01,        +3.096876550007e-02,        -5.079388169270e-02,        +9.092950010840e-02,        +4.792906259472e-02,        +3.786967289543e-03,        -5.320619052198e-02,        -2.931028704681e-02,        -7.675618860939e-02,        +1.414213562373e-01,        -2.930802536787e-02,        -7.675706375748e-02,        +3.786967289543e-03,        -5.320619052198e-02,        +9.092650282223e-02,        +4.792650796966e-02,        +3.096918448894e-02,        -5.079276888251e-02,        +1.414213562373e-01,        +3.772727774791e-03,        -5.317607432244e-02,        -2.931028704682e-02,        -7.675618860939e-02,        +3.096918448894e-02,        -5.079276888251e-02,        +9.094128852847e-02,        +4.797486751614e-02
 1.12000000e+02,        +1.414213562373e-01,        +9.276817095326e-02,        +4.856049098951e-02,        +3.070394799759e-02,        -5.129313787980e-02,        -3.195175491067e-02,        -7.638782636266e-02,        +2.477450162235e-03,        -5.277748349627e-02,        +1.414213562373e-01,        +3.070394799759e-02,        -5.129313787980e-02,        +9.275603191422e-02,        +4.851476963603e-02,        +2.490291317315e-03,        -5.280873501478e-02,        -3.195406553470e-02,        -7.638686564591e-02,        +1.414213562373e-01,        -3.195175491067e-02,        -7.638782636266e-02,        +2.490291317315e-03,        -5.280873501478e-02,        +9.275281661736e-02,        +4.851216176876e-02,        +3.070443018017e-02,        -5.129203317985e-02,        +1.414213562373e-01,        +2.477450162235e-03,        -5.277748349627e-02,        -3.195406553470e-02,        -7.638686564591e-02,        +3.070443018017e-02,        -5.129203317985e-02,        +9.276791418281e-02,        +4.856037552958e-02
 1.13600000e+02,        +1.414213562373e-01,        +9.466063307536e-02,        +4.906926828029e-02,        +3.044662000175e-02,        -5.183065878678e-02,        -3.463184290488e-02,        -7.592669552608e-02,        +1.190081143124e-03,        -5.232409495787e-02,        +1.414213562373e-01,        +3.044662000175e-02,        -5.183065878678e-02,        +9.464837368457e-02,        +4.902360789368e-02,        +1.201417102997e-03,        -5.235643505478e-02,        -3.463420291796e-02,        -7.592564377946e-02,        +1.414213562373e-01,        -3.463184290488e-02,        -7.592669552608e-02,        +1.201417102997e-03,        -5.235643505478e-02,        +9.464492631158e-02,        +4.902095218112e-02,        +3.044716562239e-02,        -5.182956590905e-02,        +1.414213562373e-01,        +1.190081143124e-03,        -5.232409495787e-02,        -3.463420291796e-02,        -7.592564377946e-02,        +3.044716562239e-02,        -5.182956590905e-02,        +9.466028332431e-02,        +4.906897769639e-02
 1.15200000e+02,        +1.414213562373e-01,        +9.661643129465e-02,        +4.949487133208e-02,        +3.019351948483e-02,        -5.240946547261e-02,        -3.734595287392e-02,        -7.536825076815e-02,        -8.638533283487e-05,        -5.181365810745e-02,        +1.414213562373e-01,        +3.019351948483e-02,        -5.240946547261e-02,        +9.660411072646e-02,        +4.944929589289e-02,        -7.666307485877e-05,        -5.184703162813e-02,        -3.734836256695e-02,        -7.536710207151e-02,        +1.414213562373e-01,        -3.734595287392e-02,        -7.536825076815e-02,        -7.666307485852e-05,        -5.184703162813e-02,        +9.660041662735e-02,        +4.944659887178e-02,        +3.019412852030e-02,        -5.240838817078e-02,        +1.414213562373e-01,        -8.638533283454e-05,        -5.181365810745e-02,        -3.734836256695e-02,        -7.536710207151e-02,        +3.019412852030e-02,        -5.240838817078e-02,        +9.661597595493e-02,        +4.949439658774e-02
