        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 1.24800000e+02,        +7.071067811865e+00,        +5.473447399577e+00,        +2.497099493332e+00,        +1.426037048627e+00,        -2.844911775852e+00,        -2.706949858437e+00,        -3.482934798037e+00,        -3.645229170203e-01,        -2.372161026006e+00,        +7.071067811865e+00,        +1.426037048627e+00,        -2.844911775852e+00,        +5.472885437116e+00,        +2.494856471126e+00,        -3.646357362114e-01,        -2.374054317932e+00,        -2.707084747372e+00,        -3.482840547683e+00,        +7.071067811865e+00,        -2.706949858436e+00,        -3.482934798037e+00,        -3.646357362114e-01,        -2.374054317932e+00,        +5.472610121208e+00,        +2.494720123428e+00,        +1.426085715973e+00,        -2.844866443257e+00,        +7.071067811865e+00,        -3.645229170203e-01,        -2.372161026006e+00,        -2.707084747372e+00,        -3.482840547683e+00,        +1.426085715973e+00,        -2.844866443257e+00,        +5.473376593531e+00,        +2.497011625461e+00
 1.26400000e+02,        +7.071067811865e+00,        +5.587368400336e+00,        +2.480334365658e+00,        +1.408250617080e+00,        -2.891712241263e+00,        -2.848693184657e+00,        -3.413104974837e+00,        -4.183638924666e-01,        -2.324208030381e+00,        +7.071067811865e+00,        +1.408250617080e+00,        -2.891712241263e+00,        +5.586828738148e+00,        +2.478095905029e+00,        -4.185949510229e-01,        -2.326119326562e+00,        -2.848830171028e+00,        -3.413003018262e+00,        +7.071067811865e+00,        -2.848693184657e+00,        -3.413104974837e+00,        -4.185949510229e-01,        -2.326119326562e+00,        +5.586535468744e+00,        +2.477961940416e+00,        +1.408302059435e+00,        -2.891668922794e+00,        +7.071067811865e+00,        -4.183638924666e-01,        -2.324208030381e+00,        -2.848830171028e+00,        -3.413003018263e+00,        +1.408302059435e+00,        -2.891668922794e+00,        +5.587286278919e+00,        +2.480234515831e+00
 1.28000000e+02,        +7.071067811865e+00,        +5.702296912942e+00,        +2.456941531498e+00,        +1.388479349001e+00,        -2.941321966646e+00,        -2.990031019225e+00,        -3.336235939766e+00,        -4.695984059952e-01,        -2.272909789334e+00,        +7.071067811865e+00,        +1.388479349001e+00,        -2.941321966646e+00,        +5.701783493268e+00,        +2.454706187775e+00,        -4.699524383056e-01,        -2.274831909281e+00,        -2.990169922005e+00,        -3.336125744056e+00,        +7.071067811865e+00,        -2.990031019225e+00,        -3.336235939766e+00,        -4.699524383056e-01,        -2.274831909281e+00,        +5.701471478990e+00,        +2.454575631008e+00,        +1.388533460954e+00,        -2.941280805598e+00,        +7.071067811865e+00,        -4.695984059952e-01,        -2.272909789334e+00,        -2.990169922005e+00,        -3.336125744056e+00,        +1.388533460954e+00,        -2.941280805598e+00,        +5.702202347944e+00,        +2.456829415590e+00
 1.29600000e+02,        +7.071067811865e+00,        +5.817792589060e+00,        +2.426677879364e+00,        +1.366338431173e+00,        -2.993713646148e+00,        -3.130531025168e+00,        -3.252116227445e+00,        -5.178610166823e-01,        -2.218318556452e+00,        +7.071067811865e+00,        +1.366338431173e+00,        -2.993713646148e+00,        +5.817309308749e+00,        +2.424443771841e+00,        -5.183424098164e-01,        -2.220243675681e+00,        -3.130671613533e+00,        -3.251997229487e+00,        +7.071067811865e+00,        -3.130531025168e+00,        -3.252116227445e+00,        -5.183424098165e-01,        -2.220243675681e+00,        +5.816977791203e+00,        +2.424317762276e+00,        +1.366395099369e+00,        -2.993674772206e+00,        +7.071067811865e+00,        -5.178610166823e-01,        -2.218318556452e+00,        -3.130671613533e+00,        -3.251997229487e+00,        +1.366395099369e+00,        -2.993674772207e+00,        +5.817684378524e+00,        +2.426553260542e+00
 1.31200000e+02,        +7.071067811865e+00,        +5.933377307611e+00,        +2.389332284379e+00,        +1.341424959756e+00,        -3.048816487756e+00,        -3.269723218779e+00,        -3.160565335072e+00,        -5.627685806886e-01,        -2.160528707172e+00,        +7.071067811865e+00,        +1.341424959756e+00,        -3.048816487756e+00,        +5.932927963988e+00,        +2.387097087520e+00,        -5.633812959977e-01,        -2.162448356193e+00,        -3.269865204722e+00,        -3.160436943959e+00,        +7.071067811865e+00,        -3.269723218779e+00,        -3.160565335072e+00,        -5.633812959977e-01,        -2.162448356193e+00,        +5.932576231391e+00,        +2.386976882639e+00,        +1.341484065325e+00,        -3.048780015670e+00,        +7.071067811865e+00,        -5.627685806885e-01,        -2.160528707172e+00,        -3.269865204722e+00,        -3.160436943959e+00,        +1.341484065325e+00,        -3.048780015670e+00,        +5.933254174397e+00,        +2.389194981469e+00
 1.32800000e+02,        +7.071067811865e+00,        +6.048537420724e+00,        +2.344731578104e+00,        +1.313322461564e+00,        -3.106511004008e+00,        -3.407102169806e+00,        -3.061439739944e+00,        -6.039247308978e-01,        -2.099681974696e+00,        +7.071067811865e+00,        +1.313322461564e+00,        -3.106511004008e+00,        +6.048125653710e+00,        +2.342492520231e+00,        -6.046722207243e-01,        -2.101587047385e+00,        -3.407245200424e+00,        -3.061301340546e+00,        +7.071067811865e+00,        -3.407102169806e+00,        -3.061439739944e+00,        -6.046722207243e-01,        -2.101587047385e+00,        +6.047753055846e+00,        +2.342379497644e+00,        +1.313383882936e+00,        -3.106477032646e+00,        +7.071067811865e+00,        -6.039247308977e-01,        -2.099681974696e+00,        -3.407245200424e+00,        -3.061301340546e+00,        +1.313383882936e+00,        -3.106477032646e+00,        +6.048398011768e+00,        +2.344581474788e+00
 1.34400000e+02,        +7.071067811865e+00,        +6.162727039247e+00,        +2.292746462611e+00,        +1.281606570769e+00,        -3.166624143154e+00,        -3.542130245110e+00,        -2.954638861651e+00,        -6.409255146485e-01,        -2.035972344285e+00,        +7.071067811865e+00,        +1.281606570769e+00,        -3.166624143154e+00,        +6.162356270799e+00,        +2.290500333151e+00,        -6.418106352305e-01,        -2.037853116978e+00,        -3.542273894729e+00,        -2.954489819518e+00,        +7.071067811865e+00,        -3.542130245110e+00,        -2.954638861651e+00,        -6.418106352305e-01,        -2.037853116978e+00,        +6.161962235173e+00,        +2.290395990765e+00,        +1.281670186841e+00,        -3.166592755037e+00,        +7.071067811865e+00,        -6.409255146484e-01,        -2.035972344285e+00,        -3.542273894729e+00,        -2.954489819518e+00,        +1.281670186841e+00,        -3.166592755037e+00,        +6.162569925685e+00,        +2.292583517439e+00
 1.36000000e+02,        +7.071067811865e+00,        +6.275372403876e+00,        +2.233297167405e+00,        +1.245851885168e+00,        -3.228925003265e+00,        -3.674241941794e+00,        -2.840110767381e+00,        -6.733662133003e-01,        -1.969650363330e+00,        +7.071067811865e+00,        +1.245851885168e+00,        -3.228925003265e+00,        +6.275045776102e+00,        +2.231040333655e+00,        -6.743911352736e-01,        -1.971496525874e+00,        -3.674385704144e+00,        -2.839950435108e+00,        +7.071067811865e+00,        -3.674241941794e+00,        -2.840110767381e+00,        -6.743911352736e-01,        -1.971496525874e+00,        +6.274629825074e+00,        +2.230946287691e+00,        +1.245917578750e+00,        -3.228896264691e+00,        +7.071067811865e+00,        -6.733662133003e-01,        -1.969650363330e+00,        -3.674385704144e+00,        -2.839950435108e+00,        +1.245917578750e+00,        -3.228896264691e+00,        +6.275196082224e+00,        +2.233121424588e+00
 1.37600000e+02,        +7.071067811865e+00,        +6.385877345304e+00,        +2.166358625252e+00,        +1.205639975413e+00,        -3.293121395934e+00,        -3.802849313162e+00,        -2.717857396181e+00,        -7.008493166920e-01,        -1.901026600545e+00,        +7.071067811865e+00,        +1.205639975413e+00,        -3.293121395934e+00,        +6.385597658911e+00,        +2.164087059387e+00,        -7.020154349056e-01,        -1.902827300385e+00,        -3.802992593822e+00,        -2.717685121345e+00,        +7.071067811865e+00,        -3.802849313162e+00,        -2.717857396181e+00,        -7.020154349055e-01,        -1.902827300385e+00,        +6.385159427514e+00,        +2.164005039956e+00,        +1.205707636852e+00,        -3.293095357797e+00,        +7.071067811865e+00,        -7.008493166920e-01,        -1.901026600545e+00,        -3.802992593822e+00,        -2.717685121345e+00,        +1.205707636852e+00,        -3.293095357797e+00,        +6.385680239881e+00,        +2.166170226152e+00
 1.39200000e+02,        +7.071067811865e+00,        +6.493629785518e+00,        +2.091964929950e+00,        +1.160568460034e+00,        -3.358857539624e+00,        -3.927348439527e+00,        -2.587939065016e+00,        -7.229935649648e-01,        -1.830473974280e+00,        +7.071067811865e+00,        +1.160568460034e+00,        -3.358857539624e+00,        +6.493399440478e+00,        +2.089674246704e+00,        -7.243014096216e-01,        -1.832217874358e+00,        -3.927490548947e+00,        -2.587754199751e+00,        +7.071067811865e+00,        -3.927348439527e+00,        -2.587939065016e+00,        -7.243014096216e-01,        -1.832217874358e+00,        +6.492938694566e+00,        +2.089606090686e+00,        +1.160637990896e+00,        -3.358834239001e+00,        +7.071067811865e+00,        -7.229935649647e-01,        -1.830473974280e+00,        -3.927490548947e+00,        -2.587754199751e+00,        +1.160637990896e+00,        -3.358834239001e+00,        +6.493410252323e+00,        +2.091764125155e+00
