        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.02400000e+02,        +8.288821202119e-13,        +1.261304982145e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291579495868e-13,        +1.261137718044e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291060301567e-13,        +1.261609103550e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.288882960566e-13,        +1.261828335456e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +8.414265236557e-13,        +1.275631502118e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.417127869471e-13,        +1.275481220120e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.416660317586e-13,        +1.275961827765e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.414406774246e-13,        +1.276165967794e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +8.548476288943e-13,        +1.290245652503e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551447263648e-13,        +1.290112827972e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551036218113e-13,        +1.290602850886e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.548703344081e-13,        +1.290791186752e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +8.691618847690e-13,        +1.305135153609e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694702395794e-13,        +1.305020245367e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694352935195e-13,        +1.305519864231e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.691937642713e-13,        +1.305691697866e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08800000e+02,        +8.843834967119e-13,        +1.320284913060e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.847035530807e-13,        +1.320188372906e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.846752920365e-13,        +1.320697739441e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.844252180565e-13,        +1.320852405112e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10400000e+02,        +9.005239777208e-13,        +1.335676738409e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.008561962214e-13,        +1.335599013650e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.008351635190e-13,        +1.336118240021e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.005762473313e-13,        +1.336255116360e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +9.175916530028e-13,        +1.351289044695e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.179365042116e-13,        +1.351230573913e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.179232589914e-13,        +1.351759727907e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.176552070854e-13,        +1.351878244285e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +9.355911195213e-13,        +1.367096562428e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.359490770255e-13,        +1.367057766455e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.359441937217e-13,        +1.367596870559e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.356667153148e-13,        +1.367696509886e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +9.545226634898e-13,        +1.383070052890e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.548941967861e-13,        +1.383051323149e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.548982646262e-13,        +1.383600355456e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.546110713170e-13,        +1.383680655589e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +9.743816410541e-13,        +1.399176039130e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.747672084505e-13,        +1.399177724961e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.747808306293e-13,        +1.399736620348e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.744836371772e-13,        +1.399797175670e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +9.951578299643e-13,        +1.415376562598e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.955578713724e-13,        +1.415398958463e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.955816636867e-13,        +1.415967609227e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +9.952741898863e-13,        +1.416008073195e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +1.016834762973e-12,        +1.431628976991e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.017249692403e-12,        +1.431672309938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.017284281234e-12,        +1.432250565575e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.016966254747e-12,        +1.432270654498e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21600000e+02,        +1.039389056952e-12,        +1.447885792332e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.039819254544e-12,        +1.447950209827e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.039865274135e-12,        +1.448537875989e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.039536434128e-12,        +1.448537373961e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.23200000e+02,        +1.062789755228e-12,        +1.464094583647e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.063235558698e-12,        +1.464180141772e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.063293647708e-12,        +1.464776978543e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.062953749167e-12,        +1.464755743346e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24800000e+02,        +1.086997704240e-12,        +1.480197979519e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087459399704e-12,        +1.480304631544e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087530197024e-12,        +1.480910351253e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087179015637e-12,        +1.480868320953e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26400000e+02,        +1.111964989136e-12,        +1.496133746224e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112442801318e-12,        +1.496261331584e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112526941164e-12,        +1.496875596380e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112164278688e-12,        +1.496812796343e-12,        +0.000000000000e+00,        +0.000000000000e+00
