       frequency          s11_db          s12_db          s21_db          s22_db         s11_deg         s12_deg         s21_deg         s22_deg
  1.22797203e+11 -4.88703866e-01 -4.69711018e+01 -4.69711018e+01 -4.95279466e-01 -1.61821600e+02 -8.90538305e+01 -8.90538308e+01 -1.66774462e+02
  1.22877123e+11 -4.89975500e-01 -4.69213805e+01 -4.69213804e+01 -4.96541784e-01 -1.61910294e+02 -8.92058270e+01 -8.92058273e+01 -1.66867565e+02
  1.22957043e+11 -4.91253972e-01 -4.68713964e+01 -4.68713963e+01 -4.97810797e-01 -1.61999119e+02 -8.93582205e+01 -8.93582208e+01 -1.66960796e+02
  1.23036963e+11 -4.92539345e-01 -4.68211486e+01 -4.68211486e+01 -4.99086568e-01 -1.62088075e+02 -8.95110135e+01 -8.95110139e+01 -1.67054157e+02
  1.23116883e+11 -4.93831684e-01 -4.67706364e+01 -4.67706364e+01 -5.00369159e-01 -1.62177164e+02 -8.96642085e+01 -8.96642088e+01 -1.67147648e+02
  1.23196803e+11 -4.95131054e-01 -4.67198589e+01 -4.67198588e+01 -5.01658635e-01 -1.62266387e+02 -8.98178079e+01 -8.98178082e+01 -1.67241271e+02
  1.23276723e+11 -4.96437521e-01 -4.66688150e+01 -4.66688150e+01 -5.02955060e-01 -1.62355744e+02 -8.99718144e+01 -8.99718147e+01 -1.67335026e+02
  1.23356643e+11 -4.97751152e-01 -4.66175041e+01 -4.66175040e+01 -5.04258499e-01 -1.62445237e+02 -9.01262304e+01 -9.01262307e+01 -1.67428915e+02
  1.23436563e+11 -4.99072015e-01 -4.65659251e+01 -4.65659250e+01 -5.05569018e-01 -1.62534866e+02 -9.02810585e+01 -9.02810588e+01 -1.67522938e+02
  1.23516484e+11 -5.00400180e-01 -4.65140772e+01 -4.65140772e+01 -5.06886686e-01 -1.62624634e+02 -9.04363015e+01 -9.04363018e+01 -1.67617097e+02
  1.23596404e+11 -5.01735715e-01 -4.64619595e+01 -4.64619595e+01 -5.08211570e-01 -1.62714540e+02 -9.05919619e+01 -9.05919622e+01 -1.67711393e+02
  1.23676324e+11 -5.03078691e-01 -4.64095712e+01 -4.64095711e+01 -5.09543739e-01 -1.62804587e+02 -9.07480426e+01 -9.07480428e+01 -1.67805826e+02
  1.23756244e+11 -5.04429181e-01 -4.63569112e+01 -4.63569112e+01 -5.10883264e-01 -1.62894774e+02 -9.09045461e+01 -9.09045464e+01 -1.67900398e+02
  1.23836164e+11 -5.05787256e-01 -4.63039788e+01 -4.63039787e+01 -5.12230215e-01 -1.62985104e+02 -9.10614753e+01 -9.10614756e+01 -1.67995110e+02
  1.23916084e+11 -5.07152991e-01 -4.62507730e+01 -4.62507729e+01 -5.13584663e-01 -1.63075577e+02 -9.12188330e+01 -9.12188333e+01 -1.68089963e+02
  1.23996004e+11 -5.08526459e-01 -4.61972929e+01 -4.61972929e+01 -5.14946683e-01 -1.63166194e+02 -9.13766220e+01 -9.13766223e+01 -1.68184958e+02
  1.24075924e+11 -5.09907737e-01 -4.61435376e+01 -4.61435376e+01 -5.16316347e-01 -1.63256957e+02 -9.15348452e+01 -9.15348455e+01 -1.68280096e+02
  1.24155844e+11 -5.11296901e-01 -4.60895063e+01 -4.60895062e+01 -5.17693731e-01 -1.63347866e+02 -9.16935055e+01 -9.16935058e+01 -1.68375379e+02
  1.24235764e+11 -5.12694028e-01 -4.60351979e+01 -4.60351979e+01 -5.19078910e-01 -1.63438924e+02 -9.18526059e+01 -9.18526062e+01 -1.68470807e+02
  1.24315684e+11 -5.14099198e-01 -4.59806117e+01 -4.59806116e+01 -5.20471961e-01 -1.63530130e+02 -9.20121493e+01 -9.20121496e+01 -1.68566381e+02
  1.24395604e+11 -5.15512491e-01 -4.59257465e+01 -4.59257465e+01 -5.21872963e-01 -1.63621487e+02 -9.21721389e+01 -9.21721391e+01 -1.68662103e+02
  1.24475524e+11 -5.16933986e-01 -4.58706017e+01 -4.58706016e+01 -5.23281994e-01 -1.63712995e+02 -9.23325775e+01 -9.23325778e+01 -1.68757974e+02
  1.24555445e+11 -5.18363767e-01 -4.58151762e+01 -4.58151761e+01 -5.24699135e-01 -1.63804655e+02 -9.24934685e+01 -9.24934687e+01 -1.68853995e+02
  1.24635365e+11 -5.19801917e-01 -4.57594691e+01 -4.57594690e+01 -5.26124466e-01 -1.63896469e+02 -9.26548148e+01 -9.26548151e+01 -1.68950167e+02
  1.24715285e+11 -5.21248519e-01 -4.57034794e+01 -4.57034794e+01 -5.27558071e-01 -1.63988438e+02 -9.28166198e+01 -9.28166200e+01 -1.69046492e+02
  1.24795205e+11 -5.22703660e-01 -4.56472063e+01 -4.56472063e+01 -5.29000032e-01 -1.64080564e+02 -9.29788866e+01 -9.29788868e+01 -1.69142970e+02
  1.24875125e+11 -5.24167427e-01 -4.55906488e+01 -4.55906488e+01 -5.30450435e-01 -1.64172846e+02 -9.31416185e+01 -9.31416187e+01 -1.69239603e+02
  1.24955045e+11 -5.25639906e-01 -4.55338060e+01 -4.55338060e+01 -5.31909366e-01 -1.64265288e+02 -9.33048188e+01 -9.33048191e+01 -1.69336393e+02
  1.25034965e+11 -5.27121188e-01 -4.54766769e+01 -4.54766769e+01 -5.33376911e-01 -1.64357889e+02 -9.34684910e+01 -9.34684912e+01 -1.69433339e+02
  1.25114885e+11 -5.28611364e-01 -4.54192606e+01 -4.54192606e+01 -5.34853160e-01 -1.64450652e+02 -9.36326384e+01 -9.36326386e+01 -1.69530444e+02
  1.25194805e+11 -5.30110524e-01 -4.53615561e+01 -4.53615561e+01 -5.36338201e-01 -1.64543577e+02 -9.37972644e+01 -9.37972647e+01 -1.69627709e+02
  1.25274725e+11 -5.31618763e-01 -4.53035625e+01 -4.53035625e+01 -5.37832127e-01 -1.64636666e+02 -9.39623726e+01 -9.39623729e+01 -1.69725135e+02
  1.25354645e+11 -5.33136175e-01 -4.52452789e+01 -4.52452788e+01 -5.39335029e-01 -1.64729920e+02 -9.41279666e+01 -9.41279669e+01 -1.69822723e+02
  1.25434565e+11 -5.34662855e-01 -4.51867041e+01 -4.51867041e+01 -5.40847000e-01 -1.64823340e+02 -9.42940499e+01 -9.42940502e+01 -1.69920475e+02
  1.25514486e+11 -5.36198902e-01 -4.51278374e+01 -4.51278374e+01 -5.42368137e-01 -1.64916929e+02 -9.44606262e+01 -9.44606264e+01 -1.70018392e+02
  1.25594406e+11 -5.37744413e-01 -4.50686777e+01 -4.50686776e+01 -5.43898535e-01 -1.65010686e+02 -9.46276992e+01 -9.46276994e+01 -1.70116475e+02
  1.25674326e+11 -5.39299489e-01 -4.50092240e+01 -4.50092240e+01 -5.45438293e-01 -1.65104614e+02 -9.47952726e+01 -9.47952729e+01 -1.70214726e+02
  1.25754246e+11 -5.40864232e-01 -4.49494754e+01 -4.49494754e+01 -5.46987509e-01 -1.65198713e+02 -9.49633503e+01 -9.49633506e+01 -1.70313146e+02
  1.25834166e+11 -5.42438745e-01 -4.48894309e+01 -4.48894309e+01 -5.48546285e-01 -1.65292986e+02 -9.51319361e+01 -9.51319363e+01 -1.70411736e+02
  1.25914086e+11 -5.44023132e-01 -4.48290895e+01 -4.48290895e+01 -5.50114722e-01 -1.65387434e+02 -9.53010339e+01 -9.53010342e+01 -1.70510498e+02
  1.25994006e+11 -5.45617501e-01 -4.47684502e+01 -4.47684502e+01 -5.51692925e-01 -1.65482057e+02 -9.54706478e+01 -9.54706480e+01 -1.70609433e+02
  1.26073926e+11 -5.47221958e-01 -4.47075120e+01 -4.47075119e+01 -5.53280999e-01 -1.65576858e+02 -9.56407816e+01 -9.56407818e+01 -1.70708542e+02
  1.26153846e+11 -5.48836614e-01 -4.46462739e+01 -4.46462738e+01 -5.54879050e-01 -1.65671838e+02 -9.58114395e+01 -9.58114397e+01 -1.70807828e+02
  1.26233766e+11 -5.50461579e-01 -4.45847349e+01 -4.45847348e+01 -5.56487189e-01 -1.65766999e+02 -9.59826257e+01 -9.59826259e+01 -1.70907291e+02
  1.26313686e+11 -5.52096967e-01 -4.45228939e+01 -4.45228939e+01 -5.58105524e-01 -1.65862341e+02 -9.61543443e+01 -9.61543445e+01 -1.71006932e+02
  1.26393606e+11 -5.53742893e-01 -4.44607500e+01 -4.44607500e+01 -5.59734167e-01 -1.65957866e+02 -9.63265996e+01 -9.63265998e+01 -1.71106754e+02
  1.26473526e+11 -5.55399472e-01 -4.43983022e+01 -4.43983021e+01 -5.61373233e-01 -1.66053577e+02 -9.64993958e+01 -9.64993961e+01 -1.71206757e+02
  1.26553447e+11 -5.57066822e-01 -4.43355493e+01 -4.43355493e+01 -5.63022837e-01 -1.66149473e+02 -9.66727375e+01 -9.66727377e+01 -1.71306944e+02
  1.26633367e+11 -5.58745064e-01 -4.42724904e+01 -4.42724904e+01 -5.64683095e-01 -1.66245558e+02 -9.68466290e+01 -9.68466292e+01 -1.71407315e+02
  1.26713287e+11 -5.60434321e-01 -4.42091245e+01 -4.42091244e+01 -5.66354128e-01 -1.66341832e+02 -9.70210749e+01 -9.70210751e+01 -1.71507873e+02
  1.26793207e+11 -5.62134714e-01 -4.41454504e+01 -4.41454503e+01 -5.68036056e-01 -1.66438297e+02 -9.71960796e+01 -9.71960798e+01 -1.71608618e+02
  1.26873127e+11 -5.63846371e-01 -4.40814671e+01 -4.40814671e+01 -5.69729001e-01 -1.66534954e+02 -9.73716479e+01 -9.73716481e+01 -1.71709552e+02
  1.26953047e+11 -5.65569419e-01 -4.40171736e+01 -4.40171736e+01 -5.71433088e-01 -1.66631806e+02 -9.75477845e+01 -9.75477847e+01 -1.71810678e+02
  1.27032967e+11 -5.67303987e-01 -4.39525688e+01 -4.39525688e+01 -5.73148445e-01 -1.66728853e+02 -9.77244941e+01 -9.77244943e+01 -1.71911996e+02
  1.27112887e+11 -5.69050208e-01 -4.38876516e+01 -4.38876516e+01 -5.74875199e-01 -1.66826098e+02 -9.79017815e+01 -9.79017817e+01 -1.72013507e+02
  1.27192807e+11 -5.70808215e-01 -4.38224210e+01 -4.38224209e+01 -5.76613482e-01 -1.66923542e+02 -9.80796518e+01 -9.80796520e+01 -1.72115215e+02
  1.27272727e+11 -5.72578145e-01 -4.37568758e+01 -4.37568757e+01 -5.78363426e-01 -1.67021186e+02 -9.82581098e+01 -9.82581100e+01 -1.72217120e+02
  1.27352647e+11 -5.74360135e-01 -4.36910149e+01 -4.36910149e+01 -5.80125166e-01 -1.67119033e+02 -9.84371606e+01 -9.84371608e+01 -1.72319223e+02
  1.27432567e+11 -5.76154326e-01 -4.36248374e+01 -4.36248373e+01 -5.81898840e-01 -1.67217084e+02 -9.86168095e+01 -9.86168096e+01 -1.72421527e+02
  1.27512488e+11 -5.77960862e-01 -4.35583419e+01 -4.35583419e+01 -5.83684586e-01 -1.67315341e+02 -9.87970615e+01 -9.87970616e+01 -1.72524034e+02
  1.27592408e+11 -5.79779886e-01 -4.34915275e+01 -4.34915275e+01 -5.85482548e-01 -1.67413805e+02 -9.89779219e+01 -9.89779221e+01 -1.72626744e+02
  1.27672328e+11 -5.81611547e-01 -4.34243930e+01 -4.34243930e+01 -5.87292867e-01 -1.67512478e+02 -9.91593962e+01 -9.91593964e+01 -1.72729660e+02
  1.27752248e+11 -5.83455994e-01 -4.33569373e+01 -4.33569373e+01 -5.89115692e-01 -1.67611362e+02 -9.93414898e+01 -9.93414900e+01 -1.72832783e+02
  1.27832168e+11 -5.85313380e-01 -4.32891593e+01 -4.32891592e+01 -5.90951170e-01 -1.67710460e+02 -9.95242083e+01 -9.95242084e+01 -1.72936116e+02
  1.27912088e+11 -5.87183860e-01 -4.32210577e+01 -4.32210576e+01 -5.92799453e-01 -1.67809771e+02 -9.97075571e+01 -9.97075573e+01 -1.73039659e+02
  1.27992008e+11 -5.89067591e-01 -4.31526315e+01 -4.31526314e+01 -5.94660695e-01 -1.67909300e+02 -9.98915421e+01 -9.98915423e+01 -1.73143415e+02
  1.28071928e+11 -5.90964733e-01 -4.30838794e+01 -4.30838793e+01 -5.96535052e-01 -1.68009046e+02 -1.00076169e+02 -1.00076169e+02 -1.73247385e+02
  1.28151848e+11 -5.92875449e-01 -4.30148003e+01 -4.30148003e+01 -5.98422683e-01 -1.68109013e+02 -1.00261444e+02 -1.00261444e+02 -1.73351572e+02
  1.28231768e+11 -5.94799905e-01 -4.29453931e+01 -4.29453931e+01 -6.00323749e-01 -1.68209201e+02 -1.00447372e+02 -1.00447372e+02 -1.73455977e+02
  1.28311688e+11 -5.96738269e-01 -4.28756565e+01 -4.28756565e+01 -6.02238416e-01 -1.68309614e+02 -1.00633960e+02 -1.00633960e+02 -1.73560602e+02
  1.28391608e+11 -5.98690713e-01 -4.28055894e+01 -4.28055893e+01 -6.04166850e-01 -1.68410252e+02 -1.00821214e+02 -1.00821215e+02 -1.73665449e+02
  1.28471528e+11 -6.00657410e-01 -4.27351904e+01 -4.27351904e+01 -6.06109221e-01 -1.68511118e+02 -1.01009141e+02 -1.01009141e+02 -1.73770519e+02
  1.28551449e+11 -6.02638537e-01 -4.26644585e+01 -4.26644585e+01 -6.08065702e-01 -1.68612214e+02 -1.01197746e+02 -1.01197746e+02 -1.73875816e+02
  1.28631369e+11 -6.04634276e-01 -4.25933924e+01 -4.25933923e+01 -6.10036470e-01 -1.68713542e+02 -1.01387035e+02 -1.01387035e+02 -1.73981340e+02
  1.28711289e+11 -6.06644809e-01 -4.25219908e+01 -4.25219907e+01 -6.12021703e-01 -1.68815103e+02 -1.01577016e+02 -1.01577017e+02 -1.74087094e+02
  1.28791209e+11 -6.08670323e-01 -4.24502525e+01 -4.24502525e+01 -6.14021583e-01 -1.68916900e+02 -1.01767696e+02 -1.01767696e+02 -1.74193079e+02
  1.28871129e+11 -6.10711008e-01 -4.23781763e+01 -4.23781762e+01 -6.16036296e-01 -1.69018935e+02 -1.01959080e+02 -1.01959080e+02 -1.74299298e+02
  1.28951049e+11 -6.12767056e-01 -4.23057608e+01 -4.23057608e+01 -6.18066031e-01 -1.69121209e+02 -1.02151176e+02 -1.02151176e+02 -1.74405752e+02
  1.29030969e+11 -6.14838665e-01 -4.22330049e+01 -4.22330049e+01 -6.20110979e-01 -1.69223726e+02 -1.02343990e+02 -1.02343990e+02 -1.74512445e+02
  1.29110889e+11 -6.16926035e-01 -4.21599072e+01 -4.21599071e+01 -6.22171336e-01 -1.69326487e+02 -1.02537530e+02 -1.02537530e+02 -1.74619377e+02
  1.29190809e+11 -6.19029370e-01 -4.20864664e+01 -4.20864664e+01 -6.24247301e-01 -1.69429494e+02 -1.02731803e+02 -1.02731803e+02 -1.74726551e+02
  1.29270729e+11 -6.21148876e-01 -4.20126812e+01 -4.20126812e+01 -6.26339075e-01 -1.69532750e+02 -1.02926816e+02 -1.02926816e+02 -1.74833969e+02
  1.29350649e+11 -6.23284765e-01 -4.19385504e+01 -4.19385503e+01 -6.28446865e-01 -1.69636256e+02 -1.03122577e+02 -1.03122577e+02 -1.74941633e+02
  1.29430569e+11 -6.25437251e-01 -4.18640725e+01 -4.18640724e+01 -6.30570882e-01 -1.69740015e+02 -1.03319092e+02 -1.03319092e+02 -1.75049546e+02
  1.29510490e+11 -6.27606554e-01 -4.17892462e+01 -4.17892461e+01 -6.32711337e-01 -1.69844029e+02 -1.03516370e+02 -1.03516370e+02 -1.75157709e+02
  1.29590410e+11 -6.29792896e-01 -4.17140702e+01 -4.17140701e+01 -6.34868450e-01 -1.69948301e+02 -1.03714419e+02 -1.03714419e+02 -1.75266125e+02
  1.29670330e+11 -6.31996504e-01 -4.16385431e+01 -4.16385430e+01 -6.37042441e-01 -1.70052832e+02 -1.03913245e+02 -1.03913245e+02 -1.75374796e+02
  1.29750250e+11 -6.34217610e-01 -4.15626635e+01 -4.15626634e+01 -6.39233536e-01 -1.70157625e+02 -1.04112858e+02 -1.04112858e+02 -1.75483724e+02
  1.29830170e+11 -6.36456447e-01 -4.14864300e+01 -4.14864300e+01 -6.41441964e-01 -1.70262682e+02 -1.04313266e+02 -1.04313266e+02 -1.75592912e+02
  1.29910090e+11 -6.38713257e-01 -4.14098413e+01 -4.14098413e+01 -6.43667960e-01 -1.70368006e+02 -1.04514475e+02 -1.04514476e+02 -1.75702362e+02
