 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 2.08417358e-11  7.36783202e-01  7.36800952e-01  7.36782271e-01  7.36793798e-01  7.30288656e-01  7.30291038e-01  7.30315711e-01  7.30307521e-01 
 2.12518614e-11  7.36786198e-01  7.36804369e-01  7.36777915e-01  7.36796458e-01  7.30280823e-01  7.30293080e-01  7.30310568e-01  7.30300316e-01 
 2.16838603e-11  7.36790838e-01  7.36807207e-01  7.36774488e-01  7.36800474e-01  7.30275032e-01  7.30296720e-01  7.30302369e-01  7.30295164e-01 
 2.21614075e-11  7.36796806e-01  7.36809253e-01  7.36772846e-01  7.36805668e-01  7.30272526e-01  7.30301336e-01  7.30291320e-01  7.30293240e-01 
 2.27476071e-11  7.36803729e-01  7.36810009e-01  7.36774414e-01  7.36811518e-01  7.30274810e-01  7.30305741e-01  7.30278049e-01  7.30295925e-01 
 2.33109575e-11  7.36808656e-01  7.36809263e-01  7.36779328e-01  7.36815162e-01  7.30280753e-01  7.30306911e-01  7.30268803e-01  7.30301834e-01 
 2.37455962e-11  7.36810746e-01  7.36808378e-01  7.36784751e-01  7.36816272e-01  7.30286280e-01  7.30305169e-01  7.30265443e-01  7.30307098e-01 
 2.42509306e-11  7.36811157e-01  7.36807959e-01  7.36791448e-01  7.36815904e-01  7.30291591e-01  7.30300231e-01  7.30266223e-01  7.30312031e-01 
 2.47215735e-11  7.36810074e-01  7.36808615e-01  7.36796810e-01  7.36814421e-01  7.30293923e-01  7.30293450e-01  7.30270688e-01  7.30314104e-01 
 2.53184315e-11  7.36808001e-01  7.36811382e-01  7.36800978e-01  7.36812184e-01  7.30291780e-01  7.30283825e-01  7.30278670e-01  7.30312009e-01 
 2.59529613e-11  7.36806552e-01  7.36816899e-01  7.36801812e-01  7.36811134e-01  7.30283271e-01  7.30275321e-01  7.30285884e-01  7.30304324e-01 
 2.64618671e-11  7.36806924e-01  7.36822768e-01  7.36800270e-01  7.36812243e-01  7.30273015e-01  7.30271453e-01  7.30288313e-01  7.30295415e-01 
 2.69208876e-11  7.36809076e-01  7.36828258e-01  7.36798017e-01  7.36814972e-01  7.30262790e-01  7.30270842e-01  7.30286670e-01  7.30286801e-01 
 2.74421625e-11  7.36813657e-01  7.36833938e-01  7.36795779e-01  7.36819964e-01  7.30252467e-01  7.30273261e-01  7.30279988e-01  7.30278465e-01 
 2.80049983e-11  7.36820385e-01  7.36838690e-01  7.36795097e-01  7.36826958e-01  7.30245303e-01  7.30278239e-01  7.30268185e-01  7.30273231e-01 
 2.86624850e-11  7.36828831e-01  7.36841634e-01  7.36797828e-01  7.36835379e-01  7.30243705e-01  7.30284234e-01  7.30252208e-01  7.30273055e-01 
 2.93471319e-11  7.36836156e-01  7.36841871e-01  7.36804858e-01  7.36842146e-01  7.30248461e-01  7.30287372e-01  7.30238586e-01  7.30277994e-01 
 2.98486873e-11  7.36839662e-01  7.36840929e-01  7.36812101e-01  7.36845004e-01  7.30254291e-01  7.30286408e-01  7.30233102e-01  7.30283150e-01 
 3.03730754e-11  7.36841143e-01  7.36840153e-01  7.36820204e-01  7.36846106e-01  7.30260127e-01  7.30282077e-01  7.30232652e-01  7.30287880e-01 
 3.09230990e-11  7.36840804e-01  7.36840256e-01  7.36827671e-01  7.36845544e-01  7.30263674e-01  7.30274543e-01  7.30237241e-01  7.30290164e-01 
 3.15614625e-11  7.36839367e-01  7.36842522e-01  7.36833522e-01  7.36843914e-01  7.30262474e-01  7.30264367e-01  7.30245809e-01  7.30287847e-01 
 3.23209071e-11  7.36838476e-01  7.36848862e-01  7.36836127e-01  7.36843239e-01  7.30253403e-01  7.30254981e-01  7.30254386e-01  7.30278771e-01 
 3.28925380e-11  7.36839551e-01  7.36855674e-01  7.36835564e-01  7.36845032e-01  7.30242599e-01  7.30252103e-01  7.30256494e-01  7.30269334e-01 
