 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.22720000e+11 -4.87481901e-01 -4.94066367e-01 -4.70188840e+01 -4.70188839e+01 -1.61736044e+02 -1.66684645e+02 -8.89073766e+01 -8.89073769e+01 
 1.22800000e+11 -4.88748258e-01 -4.95323535e-01 -4.69693660e+01 -4.69693659e+01 -1.61824702e+02 -1.66777718e+02 -8.90591437e+01 -8.90591440e+01 
 1.22880000e+11 -4.90021406e-01 -4.96587352e-01 -4.69195856e+01 -4.69195855e+01 -1.61913490e+02 -1.66870919e+02 -8.92113063e+01 -8.92113066e+01 
 1.22960000e+11 -4.91301408e-01 -4.97857880e-01 -4.68695419e+01 -4.68695418e+01 -1.62002408e+02 -1.66964248e+02 -8.93638667e+01 -8.93638671e+01 
 1.23040000e+11 -4.92588326e-01 -4.99135182e-01 -4.68192340e+01 -4.68192340e+01 -1.62091458e+02 -1.67057707e+02 -8.95168276e+01 -8.95168279e+01 
 1.23120000e+11 -4.93882227e-01 -5.00419320e-01 -4.67686611e+01 -4.67686610e+01 -1.62180641e+02 -1.67151297e+02 -8.96701913e+01 -8.96701916e+01 
 1.23200000e+11 -4.95183176e-01 -5.01710358e-01 -4.67178222e+01 -4.67178222e+01 -1.62269958e+02 -1.67245019e+02 -8.98239604e+01 -8.98239607e+01 
 1.23280000e+11 -4.96491238e-01 -5.03008362e-01 -4.66667165e+01 -4.66667165e+01 -1.62359410e+02 -1.67338873e+02 -8.99781373e+01 -8.99781377e+01 
 1.23360000e+11 -4.97806482e-01 -5.04313397e-01 -4.66153432e+01 -4.66153431e+01 -1.62448998e+02 -1.67432861e+02 -9.01327248e+01 -9.01327251e+01 
 1.23440000e+11 -4.99128976e-01 -5.05625530e-01 -4.65637012e+01 -4.65637011e+01 -1.62538724e+02 -1.67526984e+02 -9.02877254e+01 -9.02877257e+01 
 1.23520000e+11 -5.00458788e-01 -5.06944829e-01 -4.65117897e+01 -4.65117897e+01 -1.62628587e+02 -1.67621243e+02 -9.04431417e+01 -9.04431420e+01 
 1.23600000e+11 -5.01795988e-01 -5.08271361e-01 -4.64596079e+01 -4.64596078e+01 -1.62718589e+02 -1.67715639e+02 -9.05989765e+01 -9.05989768e+01 
 1.23680000e+11 -5.03140649e-01 -5.09605196e-01 -4.64071548e+01 -4.64071547e+01 -1.62808732e+02 -1.67810173e+02 -9.07552324e+01 -9.07552327e+01 
 1.23760000e+11 -5.04492840e-01 -5.10946404e-01 -4.63544295e+01 -4.63544295e+01 -1.62899017e+02 -1.67904847e+02 -9.09119122e+01 -9.09119125e+01 
 1.23840000e+11 -5.05852636e-01 -5.12295056e-01 -4.63014312e+01 -4.63014311e+01 -1.62989443e+02 -1.67999660e+02 -9.10690186e+01 -9.10690189e+01 
 1.23920000e+11 -5.07220110e-01 -5.13651225e-01 -4.62481589e+01 -4.62481588e+01 -1.63080014e+02 -1.68094615e+02 -9.12265546e+01 -9.12265548e+01 
 1.24000000e+11 -5.08595337e-01 -5.15014984e-01 -4.61946117e+01 -4.61946116e+01 -1.63170729e+02 -1.68189712e+02 -9.13845228e+01 -9.13845231e+01 
 1.24080000e+11 -5.09978393e-01 -5.16386406e-01 -4.61407887e+01 -4.61407887e+01 -1.63261590e+02 -1.68284952e+02 -9.15429263e+01 -9.15429265e+01 
 1.24160000e+11 -5.11369355e-01 -5.17765567e-01 -4.60866891e+01 -4.60866890e+01 -1.63352598e+02 -1.68380337e+02 -9.17017678e+01 -9.17017681e+01 
 1.24240000e+11 -5.12768300e-01 -5.19152543e-01 -4.60323118e+01 -4.60323118e+01 -1.63443754e+02 -1.68475868e+02 -9.18610505e+01 -9.18610508e+01 
 1.24320000e+11 -5.14175308e-01 -5.20547411e-01 -4.59776561e+01 -4.59776560e+01 -1.63535060e+02 -1.68571546e+02 -9.20207773e+01 -9.20207776e+01 
 1.24400000e+11 -5.15590459e-01 -5.21950250e-01 -4.59227209e+01 -4.59227208e+01 -1.63626516e+02 -1.68667372e+02 -9.21809513e+01 -9.21809516e+01 
 1.24480000e+11 -5.17013834e-01 -5.23361139e-01 -4.58675053e+01 -4.58675052e+01 -1.63718124e+02 -1.68763347e+02 -9.23415754e+01 -9.23415757e+01 
 1.24560000e+11 -5.18445516e-01 -5.24780158e-01 -4.58120084e+01 -4.58120084e+01 -1.63809884e+02 -1.68859473e+02 -9.25026529e+01 -9.25026532e+01 
 1.24640000e+11 -5.19885588e-01 -5.26207388e-01 -4.57562294e+01 -4.57562293e+01 -1.63901799e+02 -1.68955750e+02 -9.26641869e+01 -9.26641872e+01 
 1.24720000e+11 -5.21334135e-01 -5.27642914e-01 -4.57001672e+01 -4.57001671e+01 -1.63993869e+02 -1.69052180e+02 -9.28261807e+01 -9.28261809e+01 
 1.24800000e+11 -5.22791242e-01 -5.29086817e-01 -4.56438209e+01 -4.56438208e+01 -1.64086096e+02 -1.69148764e+02 -9.29886373e+01 -9.29886376e+01 
 1.24880000e+11 -5.24256997e-01 -5.30539185e-01 -4.55871896e+01 -4.55871895e+01 -1.64178481e+02 -1.69245503e+02 -9.31515602e+01 -9.31515605e+01 
 1.24960000e+11 -5.25731489e-01 -5.32000102e-01 -4.55302723e+01 -4.55302723e+01 -1.64271025e+02 -1.69342399e+02 -9.33149527e+01 -9.33149530e+01 
 1.25040000e+11 -5.27214806e-01 -5.33469657e-01 -4.54730682e+01 -4.54730681e+01 -1.64363729e+02 -1.69439452e+02 -9.34788182e+01 -9.34788185e+01 
