 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 1.97171622e-11  7.36780207e-01  7.36777350e-01  7.36806350e-01  7.36790928e-01  7.30312308e-01  7.30287881e-01  7.30324921e-01  7.30324264e-01 
 2.03015821e-11  7.36776333e-01  7.36778863e-01  7.36798993e-01  7.36787477e-01  7.30299290e-01  7.30281493e-01  7.30327452e-01  7.30313491e-01 
 2.10048682e-11  7.36775835e-01  7.36781621e-01  7.36789533e-01  7.36786384e-01  7.30283002e-01  7.30279096e-01  7.30322724e-01  7.30300378e-01 
 2.16496613e-11  7.36778953e-01  7.36784002e-01  7.36782725e-01  7.36788004e-01  7.30271824e-01  7.30281462e-01  7.30310963e-01  7.30291589e-01 
 2.24102592e-11  7.36784891e-01  7.36785379e-01  7.36779491e-01  7.36791616e-01  7.30267025e-01  7.30286817e-01  7.30292150e-01  7.30288023e-01 
 2.31117364e-11  7.36790109e-01  7.36784888e-01  7.36781686e-01  7.36794823e-01  7.30270232e-01  7.30290785e-01  7.30275944e-01  7.30290845e-01 
 2.36561065e-11  7.36792770e-01  7.36783594e-01  7.36786250e-01  7.36796329e-01  7.30275911e-01  7.30291450e-01  7.30267501e-01  7.30295587e-01 
 2.42714596e-11  7.36793637e-01  7.36782053e-01  7.36792782e-01  7.36796471e-01  7.30282445e-01  7.30288514e-01  7.30264556e-01  7.30301037e-01 
 2.49098830e-11  7.36792491e-01  7.36781768e-01  7.36798876e-01  7.36795138e-01  7.30286023e-01  7.30281785e-01  7.30268175e-01  7.30304110e-01 
 2.56508551e-11  7.36790296e-01  7.36784929e-01  7.36802788e-01  7.36793129e-01  7.30283283e-01  7.30272261e-01  7.30276331e-01  7.30302173e-01 
 2.64046088e-11  7.36789701e-01  7.36792569e-01  7.36802836e-01  7.36792737e-01  7.30273114e-01  7.30265036e-01  7.30282794e-01  7.30294466e-01 
 2.69375180e-11  7.36791528e-01  7.36800141e-01  7.36801097e-01  7.36794490e-01  7.30262993e-01  7.30263228e-01  7.30283601e-01  7.30286858e-01 
 2.74679167e-11  7.36795975e-01  7.36808384e-01  7.36798981e-01  7.36798498e-01  7.30252881e-01  7.30264840e-01  7.30279854e-01  7.30279440e-01 
 2.80315556e-11  7.36803573e-01  7.36816441e-01  7.36797748e-01  7.36805148e-01  7.30244903e-01  7.30269593e-01  7.30270941e-01  7.30273924e-01 
 2.86965764e-11  7.36814855e-01  7.36823384e-01  7.36799522e-01  7.36814809e-01  7.30241760e-01  7.30276591e-01  7.30256554e-01  7.30272464e-01 
 2.95270060e-11  7.36828256e-01  7.36827802e-01  7.36807875e-01  7.36826085e-01  7.30246552e-01  7.30282320e-01  7.30240128e-01  7.30277378e-01 
 3.00042626e-11  7.36834205e-01  7.36828746e-01  7.36815441e-01  7.36831034e-01  7.30252117e-01  7.30282695e-01  7.30233995e-01  7.30282268e-01 
 3.04693063e-11  7.36837967e-01  7.36829336e-01  7.36823935e-01  7.36834164e-01  7.30257668e-01  7.30280359e-01  7.30231823e-01  7.30286978e-01 
 3.09728133e-11  7.36839699e-01  7.36830592e-01  7.36832998e-01  7.36835681e-01  7.30261802e-01  7.30275074e-01  7.30233839e-01  7.30290413e-01 
 3.14713846e-11  7.36839630e-01  7.36833299e-01  7.36840421e-01  7.36835864e-01  7.30262435e-01  7.30268132e-01  7.30239069e-01  7.30290948e-01 
 3.21651776e-11  7.36838815e-01  7.36840163e-01  7.36846390e-01  7.36835934e-01  7.30256377e-01  7.30259067e-01  7.30247205e-01  7.30286311e-01 
 3.27793572e-11  7.36839501e-01  7.36848645e-01  7.36847424e-01  7.36837567e-01  7.30245495e-01  7.30254368e-01  7.30251325e-01  7.30278264e-01 
 3.32129397e-11  7.36841650e-01  7.36855306e-01  7.36846273e-01  7.36840267e-01  7.30236071e-01  7.30253819e-01  7.30250894e-01  7.30271565e-01 
 3.36298134e-11  7.36845409e-01  7.36861491e-01  7.36844433e-01  7.36844310e-01  7.30227174e-01  7.30255623e-01  7.30247059e-01  7.30265571e-01 
 3.40748051e-11  7.36851142e-01  7.36867087e-01  7.36842662e-01  7.36849987e-01  7.30219519e-01  7.30259549e-01  7.30239230e-01  7.30260908e-01 
 3.45259357e-11  7.36858135e-01  7.36871143e-01  7.36842091e-01  7.36856549e-01  7.30214996e-01  7.30264581e-01  7.30228254e-01  7.30258876e-01 
 3.51483740e-11  7.36867705e-01  7.36873812e-01  7.36844752e-01  7.36865143e-01  7.30214793e-01  7.30270686e-01  7.30211644e-01  7.30260653e-01 
 3.57764143e-11  7.36875002e-01  7.36873819e-01  7.36851656e-01  7.36871436e-01  7.30219889e-01  7.30273368e-01  7.30197970e-01  7.30266041e-01 
 3.62109432e-11  7.36877897e-01  7.36872897e-01  7.36858381e-01  7.36873820e-01  7.30225004e-01  7.30272370e-01  7.30192333e-01  7.30270558e-01 
 3.66251354e-11  7.36878800e-01  7.36871933e-01  7.36865423e-01  7.36874476e-01  7.30229620e-01  7.30268998e-01  7.30190826e-01  7.30274264e-01 
 3.70565074e-11  7.36878077e-01  7.36871421e-01  7.36872309e-01  7.36873764e-01  7.30232799e-01  7.30263286e-01  7.30193165e-01  7.30276444e-01 
 3.75812144e-11  7.36875882e-01  7.36872141e-01  7.36878567e-01  7.36871886e-01  7.30232993e-01  7.30254620e-01  7.30199635e-01  7.30275801e-01 
 3.81762917e-11  7.36873321e-01  7.36875114e-01  7.36881768e-01  7.36869933e-01  7.30227655e-01  7.30245094e-01  7.30208020e-01  7.30270583e-01 
 3.88372272e-11  7.36872406e-01  7.36880648e-01  7.36880877e-01  7.36869746e-01  7.30216192e-01  7.30238202e-01  7.30213770e-01  7.30261005e-01 
 3.93151823e-11  7.36873732e-01  7.36885471e-01  7.36878211e-01  7.36871489e-01  7.30205922e-01  7.30236809e-01  7.30213538e-01  7.30253251e-01 
 3.98636531e-11  7.36877515e-01  7.36890776e-01  7.36874588e-01  7.36875503e-01  7.30194746e-01  7.30239163e-01  7.30207334e-01  7.30245839e-01 
 4.03910484e-11  7.36882880e-01  7.36894708e-01  7.36872023e-01  7.36880794e-01  7.30186880e-01  7.30244378e-01  7.30195749e-01  7.30241923e-01 
 4.10368726e-11  7.36890053e-01  7.36897068e-01  7.36871936e-01  7.36887540e-01  7.30183007e-01  7.30251863e-01  7.30177255e-01  7.30242350e-01 
 4.17626623e-11  7.36896353e-01  7.36896508e-01  7.36876584e-01  7.36893177e-01  7.30185354e-01  7.30257566e-01  7.30157447e-01  7.30247915e-01 
 4.22392451e-11  7.36898609e-01  7.36894698e-01  7.36881963e-01  7.36895029e-01  7.30189330e-01  7.30258220e-01  7.30147915e-01  7.30252931e-01 
 4.27118166e-11  7.36899028e-01  7.36892373e-01  7.36888229e-01  7.36895165e-01  7.30193501e-01  7.30255615e-01  7.30143019e-01  7.30257351e-01 
 4.32365824e-11  7.36897635e-01  7.36890050e-01  7.36894807e-01  7.36893627e-01  7.30196483e-01  7.30248987e-01  7.30143216e-01  7.30259931e-01 
 4.38292520e-11  7.36894695e-01  7.36888907e-01  7.36899959e-01  7.36890732e-01  7.30195907e-01  7.30238378e-01  7.30148492e-01  7.30258513e-01 
