pin_dbm,dv_pss_v,dv_hb_v
-3.602060e+01,1.023901e-05,1.024286e-05
-2.602136e+01,1.025502e-04,1.025933e-04
-1.602060e+01,1.041084e-03,1.041602e-03
-6.021363e+00,1.029126e-02,1.025325e-02
3.979400e+00,5.245578e-02,5.215719e-02
