t_ns,out1_mv,out2_mv,out3_mv,out4_mv
7.400000e-02,-3.032179e-01,6.949994e-02,5.342646e-01,-5.568272e-01
7.500000e-02,-3.087903e-01,7.544811e-02,5.308340e-01,-5.527680e-01
7.600000e-02,-3.142837e-01,8.134968e-02,5.273455e-01,-5.486348e-01
7.700000e-02,-3.197119e-01,8.722617e-02,5.238179e-01,-5.444129e-01
7.800000e-02,-3.251108e-01,9.310398e-02,5.202158e-01,-5.400984e-01
7.900000e-02,-3.304983e-01,9.898124e-02,5.164996e-01,-5.357038e-01
8.000000e-02,-3.358698e-01,1.048345e-01,5.126486e-01,-5.312431e-01
8.100000e-02,-3.411947e-01,1.106429e-01,5.086788e-01,-5.267211e-01
8.200000e-02,-3.464399e-01,1.163961e-01,5.046419e-01,-5.221333e-01
8.300000e-02,-3.516076e-01,1.221098e-01,5.005717e-01,-5.174664e-01
8.400000e-02,-3.567317e-01,1.278142e-01,4.964432e-01,-5.127114e-01
8.500000e-02,-3.618364e-01,1.335176e-01,4.922124e-01,-5.078753e-01
8.600000e-02,-3.669224e-01,1.391990e-01,4.878537e-01,-5.029731e-01
8.700000e-02,-3.719661e-01,1.448349e-01,4.833717e-01,-4.980124e-01
8.800000e-02,-3.769324e-01,1.504098e-01,4.788123e-01,-4.929932e-01
8.900000e-02,-3.818124e-01,1.559318e-01,4.742209e-01,-4.879050e-01
9.000000e-02,-3.866343e-01,1.614316e-01,4.695866e-01,-4.827355e-01
9.100000e-02,-3.914270e-01,1.669277e-01,4.648645e-01,-4.774858e-01
9.200000e-02,-3.961969e-01,1.724049e-01,4.600238e-01,-4.721693e-01
9.300000e-02,-4.009273e-01,1.778370e-01,4.550591e-01,-4.667967e-01
9.400000e-02,-4.055842e-01,1.832047e-01,4.500078e-01,-4.613714e-01
9.500000e-02,-4.101489e-01,1.885080e-01,4.449220e-01,-4.558872e-01
9.600000e-02,-4.146417e-01,1.937742e-01,4.398072e-01,-4.503311e-01
9.700000e-02,-4.190946e-01,1.990312e-01,4.346209e-01,-4.446979e-01
9.800000e-02,-4.235191e-01,2.042720e-01,4.293270e-01,-4.389975e-01
9.900000e-02,-4.279058e-01,2.094694e-01,4.239117e-01,-4.332430e-01
1.000000e-01,-4.322237e-01,2.146009e-01,4.184019e-01,-4.274407e-01
1.010000e-01,-4.364475e-01,2.196586e-01,4.128516e-01,-4.215888e-01
1.020000e-01,-4.405874e-01,2.246643e-01,4.072828e-01,-4.156759e-01
1.030000e-01,-4.446756e-01,2.296513e-01,4.016600e-01,-4.096920e-01
1.040000e-01,-4.487295e-01,2.346239e-01,3.959416e-01,-4.036417e-01
1.050000e-01,-4.527452e-01,2.395561e-01,3.901080e-01,-3.975383e-01
1.060000e-01,-4.566970e-01,2.444228e-01,3.841744e-01,-3.913909e-01
1.070000e-01,-4.605558e-01,2.492095e-01,3.781923e-01,-3.852020e-01
1.080000e-01,-4.643212e-01,2.539303e-01,3.721979e-01,-3.789631e-01
1.090000e-01,-4.680226e-01,2.586209e-01,3.661677e-01,-3.726613e-01
1.100000e-01,-4.716824e-01,2.632968e-01,3.600562e-01,-3.662952e-01
1.110000e-01,-4.753019e-01,2.679369e-01,3.538386e-01,-3.598766e-01
1.120000e-01,-4.788616e-01,2.725130e-01,3.475190e-01,-3.534172e-01
1.130000e-01,-4.823313e-01,2.770054e-01,3.411428e-01,-3.469234e-01
1.140000e-01,-4.857011e-01,2.814192e-01,3.347565e-01,-3.403908e-01
1.150000e-01,-4.889945e-01,2.857884e-01,3.283515e-01,-3.338062e-01
1.160000e-01,-4.922384e-01,2.901397e-01,3.218818e-01,-3.271618e-01
1.170000e-01,-4.954386e-01,2.944597e-01,3.153167e-01,-3.204660e-01
1.180000e-01,-4.985821e-01,2.987179e-01,3.086510e-01,-3.137322e-01
1.190000e-01,-5.016400e-01,3.028914e-01,3.019210e-01,-3.069696e-01
1.200000e-01,-5.045952e-01,3.069764e-01,2.951791e-01,-3.001785e-01
1.210000e-01,-5.074628e-01,3.110020e-01,2.884333e-01,-2.933473e-01
1.220000e-01,-5.102716e-01,3.150029e-01,2.816411e-01,-2.864635e-01
1.230000e-01,-5.130328e-01,3.189766e-01,2.747657e-01,-2.795298e-01
1.240000e-01,-5.157387e-01,3.228927e-01,2.677946e-01,-2.725602e-01
1.250000e-01,-5.183641e-01,3.267252e-01,2.607534e-01,-2.655662e-01
1.260000e-01,-5.208867e-01,3.304621e-01,2.536954e-01,-2.585527e-01
1.270000e-01,-5.233130e-01,3.341251e-01,2.466444e-01,-2.515116e-01
1.280000e-01,-5.256705e-01,3.377536e-01,2.395666e-01,-2.444273e-01
1.290000e-01,-5.279755e-01,3.413578e-01,2.324194e-01,-2.372960e-01
1.300000e-01,-5.302255e-01,3.449101e-01,2.251841e-01,-2.301302e-01
1.310000e-01,-5.324002e-01,3.483810e-01,2.178753e-01,-2.229436e-01
1.320000e-01,-5.344748e-01,3.517525e-01,2.105429e-01,-2.157453e-01
1.330000e-01,-5.364469e-01,3.550368e-01,2.032242e-01,-2.085316e-01
1.340000e-01,-5.383404e-01,3.582737e-01,1.958976e-01,-2.012867e-01
1.350000e-01,-5.401761e-01,3.614862e-01,1.885172e-01,-1.940001e-01
1.360000e-01,-5.419557e-01,3.646534e-01,1.810588e-01,-1.866801e-01
1.370000e-01,-5.436643e-01,3.677428e-01,1.735265e-01,-1.793424e-01
1.380000e-01,-5.452772e-01,3.707320e-01,1.659639e-01,-1.719989e-01
1.390000e-01,-5.467844e-01,3.736232e-01,1.584172e-01,-1.646514e-01
1.400000e-01,-5.482036e-01,3.764528e-01,1.508804e-01,-1.572859e-01
1.410000e-01,-5.495586e-01,3.792544e-01,1.433078e-01,-1.498863e-01
1.420000e-01,-5.508556e-01,3.820176e-01,1.356686e-01,-1.424552e-01
1.430000e-01,-5.520849e-01,3.847082e-01,1.279588e-01,-1.350083e-01
1.440000e-01,-5.532237e-01,3.873001e-01,1.202125e-01,-1.275604e-01
1.450000e-01,-5.542565e-01,3.897862e-01,1.124808e-01,-1.201185e-01
1.460000e-01,-5.551939e-01,3.921959e-01,1.047736e-01,-1.126725e-01
1.470000e-01,-5.560599e-01,3.945704e-01,9.704999e-02,-1.052028e-01
1.480000e-01,-5.568654e-01,3.969123e-01,8.927280e-02,-9.770452e-02
1.490000e-01,-5.576053e-01,3.991884e-01,8.143106e-02,-9.019202e-02
1.500000e-01,-5.582604e-01,4.013693e-01,7.354865e-02,-8.268202e-02
1.510000e-01,-5.588118e-01,4.034401e-01,6.567664e-02,-7.518597e-02
1.520000e-01,-5.592625e-01,4.054213e-01,5.784001e-02,-6.769907e-02
1.530000e-01,-5.596343e-01,4.073569e-01,5.000708e-02,-6.020100e-02
1.540000e-01,-5.599426e-01,4.092636e-01,4.213512e-02,-5.267911e-02
1.550000e-01,-5.601862e-01,4.111129e-01,3.420728e-02,-4.514406e-02
1.560000e-01,-5.603504e-01,4.128716e-01,2.623701e-02,-3.761425e-02
1.570000e-01,-5.604153e-01,4.145193e-01,1.827157e-02,-3.010456e-02
1.580000e-01,-5.603767e-01,4.160661e-01,1.034797e-02,-2.261624e-02
1.590000e-01,-5.602523e-01,4.175547e-01,2.447537e-03,-1.513091e-02
1.600000e-01,-5.600605e-01,4.190146e-01,-5.475283e-03,-7.629153e-03
1.610000e-01,-5.598041e-01,4.204266e-01,-1.344360e-02,-1.151679e-04
1.620000e-01,-5.594729e-01,4.217542e-01,-2.145323e-02,7.391700e-03
1.630000e-01,-5.590480e-01,4.229726e-01,-2.946368e-02,1.487389e-02
1.640000e-01,-5.585197e-01,4.240815e-01,-3.743016e-02,2.232401e-02
1.650000e-01,-5.579001e-01,4.251182e-01,-4.535641e-02,2.975622e-02
1.660000e-01,-5.572085e-01,4.261228e-01,-5.328651e-02,3.719460e-02
1.670000e-01,-5.564518e-01,4.270883e-01,-6.125052e-02,4.464318e-02
1.680000e-01,-5.556242e-01,4.279775e-01,-6.925170e-02,5.208387e-02
1.690000e-01,-5.547090e-01,4.287614e-01,-7.725845e-02,5.949658e-02
1.700000e-01,-5.536931e-01,4.294304e-01,-8.522267e-02,6.686844e-02
1.710000e-01,-5.525820e-01,4.300136e-01,-9.313272e-02,7.420767e-02
1.720000e-01,-5.513941e-01,4.305570e-01,-1.010268e-01,8.154007e-02
1.730000e-01,-5.501401e-01,4.310684e-01,-1.089417e-01,8.887876e-02
1.740000e-01,-5.488178e-01,4.315127e-01,-1.168870e-01,9.620896e-02
1.750000e-01,-5.474143e-01,4.318573e-01,-1.248410e-01,1.035089e-01
1.760000e-01,-5.459147e-01,4.320853e-01,-1.327561e-01,1.107616e-01
1.770000e-01,-5.443183e-01,4.322157e-01,-1.406071e-01,1.179683e-01
1.780000e-01,-5.426409e-01,4.322957e-01,-1.484227e-01,1.251533e-01
1.790000e-01,-5.408960e-01,4.323479e-01,-1.562447e-01,1.323383e-01
1.800000e-01,-5.390848e-01,4.323445e-01,-1.640887e-01,1.395150e-01
1.810000e-01,-5.371983e-01,4.322486e-01,-1.719422e-01,1.466605e-01
1.820000e-01,-5.352218e-01,4.320380e-01,-1.797619e-01,1.537546e-01
1.830000e-01,-5.331498e-01,4.317205e-01,-1.875123e-01,1.607913e-01
1.840000e-01,-5.309933e-01,4.313405e-01,-1.952090e-01,1.677908e-01
1.850000e-01,-5.287672e-01,4.309334e-01,-2.028954e-01,1.747811e-01
1.860000e-01,-5.264760e-01,4.304823e-01,-2.105937e-01,1.817630e-01
1.870000e-01,-5.241144e-01,4.299474e-01,-2.182995e-01,1.887134e-01
1.880000e-01,-5.216696e-01,4.293021e-01,-2.259762e-01,1.956099e-01
1.890000e-01,-5.191324e-01,4.285439e-01,-2.335818e-01,2.024399e-01
1.900000e-01,-5.165087e-01,4.277103e-01,-2.411177e-01,2.092172e-01
1.910000e-01,-5.138132e-01,4.268460e-01,-2.486253e-01,2.159732e-01
1.920000e-01,-5.110535e-01,4.259481e-01,-2.561339e-01,2.227187e-01
1.930000e-01,-5.082277e-01,4.249773e-01,-2.636457e-01,2.294341e-01
