pin_dbm,dv_pss_v,dv_hb_v
-3.602060e+01,1.029355e-05,1.029741e-05
-2.602136e+01,1.030952e-04,1.031380e-04
-1.602060e+01,1.046575e-03,1.047053e-03
-6.021363e+00,1.037150e-02,1.033358e-02
3.979400e+00,5.329457e-02,5.298168e-02
