t_ns,out1_mv,out2_mv,out3_mv,out4_mv
7.500000e-02,-3.842750e-01,2.811897e-01,4.535293e-01,-3.386613e-01
7.600000e-02,-3.883427e-01,2.855497e-01,4.475081e-01,-3.329295e-01
7.700000e-02,-3.923236e-01,2.898508e-01,4.414708e-01,-3.271447e-01
7.800000e-02,-3.962471e-01,2.941262e-01,4.353915e-01,-3.212964e-01
7.900000e-02,-4.001331e-01,2.983880e-01,4.292264e-01,-3.153851e-01
8.000000e-02,-4.039808e-01,3.026147e-01,4.229523e-01,-3.094216e-01
8.100000e-02,-4.077696e-01,3.067804e-01,4.165758e-01,-3.034153e-01
8.200000e-02,-4.114707e-01,3.108678e-01,4.101427e-01,-2.973709e-01
8.300000e-02,-4.150779e-01,3.148840e-01,4.036963e-01,-2.912841e-01
8.400000e-02,-4.186157e-01,3.188618e-01,3.972251e-01,-2.851433e-01
8.500000e-02,-4.221085e-01,3.228238e-01,3.906838e-01,-2.789434e-01
8.600000e-02,-4.255602e-01,3.267551e-01,3.840437e-01,-2.726924e-01
8.700000e-02,-4.289559e-01,3.306275e-01,3.773021e-01,-2.664017e-01
8.800000e-02,-4.322675e-01,3.344201e-01,3.704967e-01,-2.600787e-01
8.900000e-02,-4.354809e-01,3.381316e-01,3.636774e-01,-2.537231e-01
9.000000e-02,-4.386140e-01,3.417908e-01,3.568482e-01,-2.473244e-01
9.100000e-02,-4.416936e-01,3.454287e-01,3.499667e-01,-2.408729e-01
9.200000e-02,-4.447284e-01,3.490402e-01,3.429980e-01,-2.343720e-01
9.300000e-02,-4.477091e-01,3.525965e-01,3.359319e-01,-2.278336e-01
9.400000e-02,-4.506103e-01,3.560735e-01,3.287960e-01,-2.212676e-01
9.500000e-02,-4.534124e-01,3.594619e-01,3.216423e-01,-2.146781e-01
9.600000e-02,-4.561246e-01,3.627840e-01,3.144907e-01,-2.080572e-01
9.700000e-02,-4.587740e-01,3.660762e-01,3.073057e-01,-2.013922e-01
9.800000e-02,-4.613744e-01,3.693450e-01,3.000464e-01,-1.946807e-01
9.900000e-02,-4.639212e-01,3.725635e-01,2.926968e-01,-1.879336e-01
1.000000e-01,-4.663933e-01,3.757046e-01,2.852736e-01,-1.811629e-01
1.010000e-01,-4.687678e-01,3.787529e-01,2.778266e-01,-1.743760e-01
1.020000e-01,-4.710457e-01,3.817223e-01,2.703892e-01,-1.675695e-01
1.030000e-01,-4.732512e-01,3.846506e-01,2.629374e-01,-1.607292e-01
1.040000e-01,-4.754024e-01,3.875564e-01,2.554269e-01,-1.538471e-01
1.050000e-01,-4.774993e-01,3.904180e-01,2.478353e-01,-1.469310e-01
1.060000e-01,-4.795258e-01,3.932053e-01,2.401693e-01,-1.399947e-01
1.070000e-01,-4.814580e-01,3.958982e-01,2.324733e-01,-1.330485e-01
1.080000e-01,-4.832893e-01,3.985014e-01,2.247903e-01,-1.260936e-01
1.090000e-01,-4.850391e-01,4.010502e-01,2.171107e-01,-1.191173e-01
1.100000e-01,-4.867292e-01,4.035741e-01,2.093892e-01,-1.121061e-01
1.110000e-01,-4.883634e-01,4.060602e-01,2.015975e-01,-1.050632e-01
1.120000e-01,-4.899305e-01,4.084765e-01,1.937338e-01,-9.800249e-02
1.130000e-01,-4.914081e-01,4.107994e-01,1.858341e-01,-9.093682e-02
1.140000e-01,-4.927834e-01,4.130246e-01,1.779473e-01,-8.387206e-02
1.150000e-01,-4.940694e-01,4.151819e-01,1.700792e-01,-7.679872e-02
1.160000e-01,-4.952889e-01,4.173086e-01,1.621882e-01,-6.969982e-02
1.170000e-01,-4.964503e-01,4.194035e-01,1.542394e-01,-6.257195e-02
1.180000e-01,-4.975469e-01,4.214347e-01,1.462240e-01,-5.542826e-02
1.190000e-01,-4.985591e-01,4.233753e-01,1.381683e-01,-4.828353e-02
1.200000e-01,-4.994701e-01,4.252132e-01,1.301223e-01,-4.114786e-02
1.210000e-01,-5.002859e-01,4.269701e-01,1.221067e-01,-3.401648e-02
1.220000e-01,-5.010283e-01,4.286874e-01,1.140880e-01,-2.687111e-02
1.230000e-01,-5.017099e-01,4.303768e-01,1.060253e-01,-1.970141e-02
1.240000e-01,-5.023279e-01,4.320103e-01,9.790411e-02,-1.251730e-02
1.250000e-01,-5.028665e-01,4.335573e-01,8.974040e-02,-5.335207e-03
