t_ns,out1_mv,out2_mv,out3_mv,out4_mv
7.400000e-02,-2.344017e-01,1.489990e-01,4.673167e-01,-2.416462e-01
7.500000e-02,-2.377876e-01,1.531596e-01,4.638536e-01,-2.381672e-01
7.600000e-02,-2.410950e-01,1.572520e-01,4.603421e-01,-2.346687e-01
7.700000e-02,-2.443208e-01,1.612912e-01,4.568419e-01,-2.311390e-01
7.800000e-02,-2.475051e-01,1.653225e-01,4.533279e-01,-2.275588e-01
7.900000e-02,-2.506868e-01,1.693759e-01,4.497240e-01,-2.239207e-01
8.000000e-02,-2.538702e-01,1.734324e-01,4.459797e-01,-2.202378e-01
8.100000e-02,-2.570259e-01,1.774494e-01,4.421009e-01,-2.165292e-01
8.200000e-02,-2.601102e-01,1.813959e-01,4.381557e-01,-2.128054e-01
8.300000e-02,-2.631072e-01,1.852754e-01,4.342171e-01,-2.090609e-01
8.400000e-02,-2.660475e-01,1.891297e-01,4.302828e-01,-2.052764e-01
8.500000e-02,-2.689736e-01,1.930003e-01,4.262814e-01,-2.014371e-01
8.600000e-02,-2.718989e-01,1.968814e-01,4.221515e-01,-1.975493e-01
8.700000e-02,-2.748032e-01,2.007306e-01,4.178830e-01,-1.936331e-01
8.800000e-02,-2.776446e-01,2.045103e-01,4.135312e-01,-1.897039e-01
8.900000e-02,-2.803973e-01,2.082120e-01,4.091760e-01,-1.857632e-01
9.000000e-02,-2.830799e-01,2.118705e-01,4.048388e-01,-1.817944e-01
9.100000e-02,-2.857351e-01,2.155351e-01,4.004590e-01,-1.777771e-01
9.200000e-02,-2.883849e-01,2.192150e-01,3.959661e-01,-1.737094e-01
9.300000e-02,-2.910181e-01,2.228724e-01,3.913356e-01,-1.696096e-01
9.400000e-02,-2.935974e-01,2.264640e-01,3.866071e-01,-1.654973e-01
9.500000e-02,-2.960900e-01,2.299703e-01,3.818618e-01,-1.613805e-01
9.600000e-02,-2.985022e-01,2.334160e-01,3.771427e-01,-1.572477e-01
9.700000e-02,-3.008730e-01,2.368537e-01,3.724055e-01,-1.530759e-01
9.800000e-02,-3.032317e-01,2.403085e-01,3.675740e-01,-1.488541e-01
9.900000e-02,-3.055758e-01,2.437512e-01,3.626103e-01,-1.445958e-01
1.000000e-01,-3.078748e-01,2.471342e-01,3.575372e-01,-1.403238e-01
1.010000e-01,-3.100924e-01,2.504282e-01,3.524313e-01,-1.360524e-01
1.020000e-01,-3.122231e-01,2.536458e-01,3.473532e-01,-1.317767e-01
1.030000e-01,-3.142989e-01,2.568381e-01,3.422792e-01,-1.274738e-01
1.040000e-01,-3.163542e-01,2.600447e-01,3.371327e-01,-1.231249e-01
1.050000e-01,-3.183946e-01,2.632488e-01,3.318636e-01,-1.187361e-01
1.060000e-01,-3.203974e-01,2.664015e-01,3.264782e-01,-1.143309e-01
1.070000e-01,-3.223261e-01,2.694654e-01,3.210437e-01,-1.099289e-01
1.080000e-01,-3.241650e-01,2.724401e-01,3.156329e-01,-1.055327e-01
1.090000e-01,-3.259368e-01,2.753710e-01,3.102453e-01,-1.011226e-01
1.100000e-01,-3.276779e-01,2.783087e-01,3.048098e-01,-9.667343e-02
1.110000e-01,-3.294018e-01,2.812523e-01,2.992647e-01,-9.218229e-02
1.120000e-01,-3.310937e-01,2.841549e-01,2.936013e-01,-8.767085e-02
1.130000e-01,-3.327198e-01,2.869722e-01,2.878736e-01,-8.316302e-02
1.140000e-01,-3.342569e-01,2.896911e-01,2.821606e-01,-7.866904e-02
1.150000e-01,-3.357172e-01,2.923477e-01,2.764848e-01,-7.417472e-02
1.160000e-01,-3.371356e-01,2.949991e-01,2.707868e-01,-6.965153e-02
1.170000e-01,-3.385326e-01,2.976619e-01,2.649958e-01,-6.508656e-02
1.180000e-01,-3.399012e-01,3.002959e-01,2.590891e-01,-6.049662e-02
1.190000e-01,-3.412125e-01,3.028508e-01,2.531053e-01,-5.590888e-02
1.200000e-01,-3.424387e-01,3.053023e-01,2.471236e-01,-5.134052e-02
1.210000e-01,-3.435814e-01,3.076743e-01,2.411873e-01,-4.678478e-02
1.220000e-01,-3.446709e-01,3.100253e-01,2.352541e-01,-4.221303e-02
1.230000e-01,-3.457331e-01,3.123891e-01,2.292481e-01,-3.760288e-02
1.240000e-01,-3.467683e-01,3.147366e-01,2.231330e-01,-3.296332e-02
1.250000e-01,-3.477541e-01,3.170140e-01,2.169317e-01,-2.832278e-02
1.260000e-01,-3.486608e-01,3.191869e-01,2.107181e-01,-2.370466e-02
1.270000e-01,-3.494807e-01,3.212653e-01,2.045519e-01,-1.911075e-02
1.280000e-01,-3.502372e-01,3.233046e-01,1.984115e-01,-1.451548e-02
1.290000e-01,-3.509591e-01,3.253529e-01,1.922216e-01,-9.888815e-03
1.300000e-01,-3.516536e-01,3.273965e-01,1.859330e-01,-5.229708e-03
