pin_dbm,dv_pss_v,dv_hb_v
-3.602060e+01,1.029343e-05,1.029729e-05
-2.602136e+01,1.030940e-04,1.031368e-04
-1.602060e+01,1.046563e-03,1.047040e-03
-6.021363e+00,1.037139e-02,1.033347e-02
3.979400e+00,5.329422e-02,5.298133e-02
