 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.22720000e+11 -5.37262341e-01 -5.36210599e-01 -4.72771244e+01 -4.72771243e+01 -1.65954033e+02 -1.70632952e+02 -9.12285475e+01 -9.12285478e+01 
 1.22800000e+11 -5.38477472e-01 -5.37347674e-01 -4.72250760e+01 -4.72250759e+01 -1.66045074e+02 -1.70727413e+02 -9.14185271e+01 -9.14185274e+01 
 1.22880000e+11 -5.39699307e-01 -5.38491171e-01 -4.71727919e+01 -4.71727918e+01 -1.66136243e+02 -1.70822001e+02 -9.16086611e+01 -9.16086614e+01 
 1.22960000e+11 -5.40927908e-01 -5.39641148e-01 -4.71202712e+01 -4.71202712e+01 -1.66227542e+02 -1.70916718e+02 -9.17989511e+01 -9.17989514e+01 
 1.23040000e+11 -5.42163335e-01 -5.40797667e-01 -4.70675131e+01 -4.70675131e+01 -1.66318971e+02 -1.71011564e+02 -9.19893988e+01 -9.19893990e+01 
 1.23120000e+11 -5.43405652e-01 -5.41960787e-01 -4.70145167e+01 -4.70145167e+01 -1.66410532e+02 -1.71106541e+02 -9.21800058e+01 -9.21800061e+01 
 1.23200000e+11 -5.44654923e-01 -5.43130573e-01 -4.69612812e+01 -4.69612811e+01 -1.66502226e+02 -1.71201650e+02 -9.23707741e+01 -9.23707743e+01 
 1.23280000e+11 -5.45911213e-01 -5.44307085e-01 -4.69078055e+01 -4.69078055e+01 -1.66594052e+02 -1.71296891e+02 -9.25617053e+01 -9.25617056e+01 
 1.23360000e+11 -5.47174585e-01 -5.45490389e-01 -4.68540889e+01 -4.68540889e+01 -1.66686014e+02 -1.71392266e+02 -9.27528014e+01 -9.27528016e+01 
 1.23440000e+11 -5.48445108e-01 -5.46680547e-01 -4.68001305e+01 -4.68001304e+01 -1.66778111e+02 -1.71487775e+02 -9.29440642e+01 -9.29440645e+01 
 1.23520000e+11 -5.49722848e-01 -5.47877627e-01 -4.67459293e+01 -4.67459292e+01 -1.66870344e+02 -1.71583420e+02 -9.31354957e+01 -9.31354960e+01 
 1.23600000e+11 -5.51007872e-01 -5.49081693e-01 -4.66914844e+01 -4.66914844e+01 -1.66962715e+02 -1.71679201e+02 -9.33270981e+01 -9.33270983e+01 
 1.23680000e+11 -5.52300250e-01 -5.50292812e-01 -4.66367950e+01 -4.66367950e+01 -1.67055225e+02 -1.71775121e+02 -9.35188732e+01 -9.35188734e+01 
 1.23760000e+11 -5.53600051e-01 -5.51511053e-01 -4.65818601e+01 -4.65818601e+01 -1.67147875e+02 -1.71871179e+02 -9.37108232e+01 -9.37108235e+01 
 1.23840000e+11 -5.54907346e-01 -5.52736485e-01 -4.65266789e+01 -4.65266788e+01 -1.67240665e+02 -1.71967377e+02 -9.39029504e+01 -9.39029506e+01 
 1.23920000e+11 -5.56222207e-01 -5.53969177e-01 -4.64712503e+01 -4.64712502e+01 -1.67333598e+02 -1.72063716e+02 -9.40952568e+01 -9.40952571e+01 
 1.24000000e+11 -5.57544707e-01 -5.55209200e-01 -4.64155734e+01 -4.64155734e+01 -1.67426674e+02 -1.72160196e+02 -9.42877449e+01 -9.42877451e+01 
 1.24080000e+11 -5.58874918e-01 -5.56456625e-01 -4.63596475e+01 -4.63596474e+01 -1.67519893e+02 -1.72256820e+02 -9.44804169e+01 -9.44804171e+01 
 1.24160000e+11 -5.60212915e-01 -5.57711525e-01 -4.63034714e+01 -4.63034713e+01 -1.67613259e+02 -1.72353589e+02 -9.46732752e+01 -9.46732754e+01 
 1.24240000e+11 -5.61558774e-01 -5.58973974e-01 -4.62470442e+01 -4.62470442e+01 -1.67706770e+02 -1.72450502e+02 -9.48663222e+01 -9.48663225e+01 
 1.24320000e+11 -5.62912572e-01 -5.60244045e-01 -4.61903651e+01 -4.61903651e+01 -1.67800429e+02 -1.72547562e+02 -9.50595605e+01 -9.50595608e+01 
 1.24400000e+11 -5.64274385e-01 -5.61521816e-01 -4.61334330e+01 -4.61334330e+01 -1.67894237e+02 -1.72644769e+02 -9.52529926e+01 -9.52529929e+01 
 1.24480000e+11 -5.65644294e-01 -5.62807362e-01 -4.60762470e+01 -4.60762470e+01 -1.67988195e+02 -1.72742126e+02 -9.54466211e+01 -9.54466214e+01 
 1.24560000e+11 -5.67022376e-01 -5.64100761e-01 -4.60188062e+01 -4.60188061e+01 -1.68082304e+02 -1.72839632e+02 -9.56404487e+01 -9.56404490e+01 
 1.24640000e+11 -5.68408715e-01 -5.65402091e-01 -4.59611095e+01 -4.59611094e+01 -1.68176565e+02 -1.72937289e+02 -9.58344782e+01 -9.58344784e+01 
 1.24720000e+11 -5.69803390e-01 -5.66711434e-01 -4.59031560e+01 -4.59031559e+01 -1.68270980e+02 -1.73035098e+02 -9.60287122e+01 -9.60287124e+01 
 1.24800000e+11 -5.71206486e-01 -5.68028868e-01 -4.58449447e+01 -4.58449446e+01 -1.68365549e+02 -1.73133061e+02 -9.62231537e+01 -9.62231539e+01 
 1.24880000e+11 -5.72618086e-01 -5.69354478e-01 -4.57864746e+01 -4.57864746e+01 -1.68460274e+02 -1.73231178e+02 -9.64178055e+01 -9.64178058e+01 
 1.24960000e+11 -5.74038277e-01 -5.70688345e-01 -4.57277448e+01 -4.57277447e+01 -1.68555157e+02 -1.73329452e+02 -9.66126707e+01 -9.66126710e+01 
 1.25040000e+11 -5.75467144e-01 -5.72030555e-01 -4.56687542e+01 -4.56687541e+01 -1.68650197e+02 -1.73427882e+02 -9.68077523e+01 -9.68077526e+01 
 1.25120000e+11 -5.76904776e-01 -5.73381192e-01 -4.56095018e+01 -4.56095018e+01 -1.68745398e+02 -1.73526470e+02 -9.70030534e+01 -9.70030536e+01 
