        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.16800000e+02,        +7.071067811865e+00,        +6.180493568805e-01,        -1.852936462900e+00,        +2.953756804308e-03,        -2.026948512366e-02,        +7.071067811865e+00,        +2.953756804339e-03,        -2.026948512367e-02,        +6.201463650532e-01,        -1.859874831271e+00
 1.18400000e+02,        +7.071067811865e+00,        +5.777090140859e-01,        -1.648077460302e+00,        +2.088882051126e-03,        -2.226449339392e-02,        +7.071067811865e+00,        +2.088882051099e-03,        -2.226449339386e-02,        +5.796527792637e-01,        -1.655271290533e+00
 1.20000000e+02,        +7.071067811865e+00,        +5.442258803403e-01,        -1.438459821001e+00,        +9.906621063557e-04,        -2.462916283915e-02,        +7.071067811865e+00,        +9.906621063065e-04,        -2.462916283915e-02,        +5.459993005633e-01,        -1.445909426733e+00
 1.21600000e+02,        +7.071067811865e+00,        +5.180822815714e-01,        -1.223687861589e+00,        -4.247749393111e-04,        -2.744697588266e-02,        +7.071067811865e+00,        -4.247749393416e-04,        -2.744697588264e-02,        +5.196669002220e-01,        -1.231393460529e+00
 1.23200000e+02,        +7.071067811865e+00,        +4.998807230719e-01,        -1.003304362522e+00,        -2.274697775753e-03,        -3.082264008101e-02,        +7.071067811865e+00,        -2.274697775793e-03,        -3.082264008096e-02,        +5.012564115756e-01,        -1.011266108165e+00
 1.24800000e+02,        +7.071067811865e+00,        +4.903786948808e-01,        -7.767809846757e-01,        -4.725154242477e-03,        -3.488779674361e-02,        +7.071067811865e+00,        -4.725154242425e-03,        -3.488779674357e-02,        +4.915232293850e-01,        -7.849989983715e-01
 1.26400000e+02,        +7.071067811865e+00,        +4.905373807041e-01,        -5.435074221517e-01,        -8.014598982121e-03,        -3.980789787722e-02,        +7.071067811865e+00,        -8.014598982124e-03,        -3.980789787724e-02,        +4.914258668419e-01,        -5.519818197166e-01
 1.28000000e+02,        +7.071067811865e+00,        +5.015913923626e-01,        -3.027800821075e-01,        -1.249087972542e-02,        -4.578982889165e-02,        +7.071067811865e+00,        -1.249087972536e-02,        -4.578982889159e-02,        +5.021954675608e-01,        -3.115109814345e-01
 1.29600000e+02,        +7.071067811865e+00,        +5.251511169003e-01,        -5.379261828347e-02,        -1.867032368093e-02,        -5.308865615590e-02,        +7.071067811865e+00,        -1.867032368072e-02,        -5.308865615581e-02,        +5.254378195305e-01,        -6.278009786823e-02
 1.31200000e+02,        +7.071067811865e+00,        +5.633570105306e-01,        +2.043656846957e-01,        -2.733417799591e-02,        -6.200881575559e-02,        +7.071067811865e+00,        -2.733417799575e-02,        -6.200881575550e-02,        +5.632871382415e-01,        +1.951217422263e-01
