        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.16800000e+02,        +1.414213562373e-01,        +1.237281821288e-02,        -3.708920856702e-02,        +5.906937248403e-05,        -4.055119063302e-04,        +1.414213562373e-01,        +5.906937249421e-05,        -4.055119063403e-04,        +1.238677172097e-02,        -3.714594100022e-02
 1.18400000e+02,        +1.414213562373e-01,        +1.156598825487e-02,        -3.299680907619e-02,        +4.177785095333e-05,        -4.454049019255e-04,        +1.414213562373e-01,        +4.177785097512e-05,        -4.454049019497e-04,        +1.157816526665e-02,        -3.305202920145e-02
 1.20000000e+02,        +1.414213562373e-01,        +1.089599780773e-02,        -2.880953788534e-02,        +1.982350164948e-05,        -4.926878831550e-04,        +1.414213562373e-01,        +1.982350165259e-05,        -4.926878831621e-04,        +1.090648029313e-02,        -2.886288004994e-02
 1.21600000e+02,        +1.414213562373e-01,        +1.037244631040e-02,        -2.451950514875e-02,        -8.469142165477e-06,        -5.490295045057e-04,        +1.414213562373e-01,        -8.469142168174e-06,        -5.490295045205e-04,        +1.038135256907e-02,        -2.457057115164e-02
 1.23200000e+02,        +1.414213562373e-01,        +1.000732535062e-02,        -2.011759372576e-02,        -4.544246763683e-05,        -6.165226759161e-04,        +1.414213562373e-01,        -4.544246764113e-05,        -6.165226759133e-04,        +1.001481830721e-02,        -2.016594950713e-02
 1.24800000e+02,        +1.414213562373e-01,        +9.815710978466e-03,        -1.559326777636e-02,        -9.441286180042e-05,        -6.977987496562e-04,        +1.414213562373e-01,        -9.441286181145e-05,        -6.977987496270e-04,        +9.822008854260e-03,        -1.563843980727e-02
 1.26400000e+02,        +1.414213562373e-01,        +9.816732496486e-03,        -1.093435584711e-02,        -1.601423656394e-04,        -7.961651891004e-04,        +1.414213562373e-01,        -1.601423656213e-04,        -7.961651890815e-04,        +9.822122738329e-03,        -1.097582723238e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.003495934775e-02,        -6.126823938502e-03,        -2.495769863572e-04,        -9.157584170731e-04,        +1.414213562373e-01,        -2.495769863111e-04,        -9.157584170649e-04,        +1.003981721281e-02,        -6.164030272995e-03
 1.29600000e+02,        +1.414213562373e-01,        +1.050243653582e-02,        -1.154584416239e-03,        -3.730262323848e-04,        -1.061679703709e-03,        +1.414213562373e-01,        -3.730262323588e-04,        -1.061679703716e-03,        +1.050725072144e-02,        -1.186909614818e-03
 1.31200000e+02,        +1.414213562373e-01,        +1.126175311435e-02,        +4.000540691864e-03,        -5.460885125708e-04,        -1.240020898053e-03,        +1.414213562373e-01,        -5.460885125648e-04,        -1.240020898052e-03,        +1.126716262351e-02,        +3.973767533796e-03
 1.32800000e+02,        +1.414213562373e-01,        +1.237080063188e-02,        +9.358408363236e-03,        -7.928635823948e-04,        -1.457532534829e-03,        +1.414213562373e-01,        -7.928635823951e-04,        -1.457532534837e-03,        +1.237764961879e-02,        +9.337911450773e-03
 1.34400000e+02,        +1.414213562373e-01,        +1.391036316326e-02,        +1.493897061220e-02,        -1.151424074056e-03,        -1.720293906884e-03,        +1.414213562373e-01,        -1.151424074031e-03,        -1.720293906947e-03,        +1.391978288005e-02,        +1.492551225455e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.599652416656e-02,        +2.075769940077e-02,        -1.683280766429e-03,        -2.029721246606e-03,        +1.414213562373e-01,        -1.683280766404e-03,        -2.029721246641e-03,        +1.601005292583e-02,        +2.075203368918e-02
 1.37600000e+02,        +1.414213562373e-01,        +1.880118499835e-02,        +2.681332652148e-02,        -2.489765144310e-03,        -2.371505765295e-03,        +1.414213562373e-01,        -2.489765144274e-03,        -2.371505765342e-03,        +1.882094120572e-02,        +2.681608874303e-02
