x,mag_db
-100.000000,-110.998389
-96.136532,-110.215058
-92.273064,-109.088129
-88.409596,-107.576175
-84.546128,-105.641633
-80.682660,-103.284772
-76.819192,-100.544357
-72.955724,-97.484706
-69.092256,-94.178105
-65.228787,-90.691082
-61.365319,-87.077674
-57.501851,-83.378331
-53.638383,-79.621743
-49.774915,-75.827565
-45.911447,-72.008989
-42.047979,-68.174808
-38.184511,-64.331007
-34.321043,-60.482044
-30.457575,-56.632155
