        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 9.76000000e+01,        +1.414213562373e-01,        +1.232996009137e-01,        +6.747904321753e-03,        +4.858025730934e-02,        -6.995258934086e-02,        +4.858396212535e-02,        -6.994610792994e-02,        +1.414213562373e-01,        +4.858025730934e-02,        -6.995258934086e-02,        +1.971365958470e-01,        +3.457700292925e-02,        -2.206792147826e-02,        -5.460036575538e-02,        +1.414213562373e-01,        +4.858396212535e-02,        -6.994610792994e-02,        -2.206792147826e-02,        -5.460036575538e-02,        +1.971345095555e-01,        +3.463777563484e-02
 9.92000000e+01,        +1.414213562373e-01,        +1.234974261409e-01,        +6.646035330948e-03,        +4.746665047648e-02,        -7.071815027956e-02,        +4.747041130256e-02,        -7.071146404814e-02,        +1.414213562373e-01,        +4.746665047648e-02,        -7.071815027956e-02,        +1.982160216707e-01,        +3.390579364591e-02,        -2.368543247854e-02,        -5.382248584580e-02,        +1.414213562373e-01,        +4.747041130256e-02,        -7.071146404814e-02,        -2.368543247854e-02,        -5.382248584580e-02,        +1.982142266091e-01,        +3.396793903582e-02
 1.00800000e+02,        +1.414213562373e-01,        +1.236918542467e-01,        +6.538110494302e-03,        +4.634044299010e-02,        -7.146613377114e-02,        +4.634426793032e-02,        -7.145923179995e-02,        +1.414213562373e-01,        +4.634044299010e-02,        -7.146613377114e-02,        +1.992721764571e-01,        +3.320544061656e-02,        -2.527518456302e-02,        -5.299897611442e-02,        +1.414213562373e-01,        +4.634426793032e-02,        -7.145923179995e-02,        -2.527518456302e-02,        -5.299897611442e-02,        +1.992706983729e-01,        +3.326896406409e-02
 1.02400000e+02,        +1.414213562373e-01,        +1.238827117696e-01,        +6.424222398586e-03,        +4.520190227475e-02,        -7.219630495940e-02,        +4.520580037565e-02,        -7.218917638679e-02,        +1.414213562373e-01,        +4.520190227475e-02,        -7.219630495940e-02,        +2.003044258792e-01,        +3.247679670892e-02,        -2.683602940999e-02,        -5.213082728560e-02,        +1.414213562373e-01,        +4.520580037565e-02,        -7.218917638679e-02,        -2.683602940999e-02,        -5.213082728560e-02,        +2.003032910139e-01,        +3.254170267642e-02
 1.04000000e+02,        +1.414213562373e-01,        +1.240698273454e-01,        +6.304468612468e-03,        +4.405130139531e-02,        -7.290843266559e-02,        +4.405528266220e-02,        -7.290106674680e-02,        +1.414213562373e-01,        +4.405130139531e-02,        -7.290843266559e-02,        +2.013121658308e-01,        +3.172071921921e-02,        -2.836685289076e-02,        -5.121905074464e-02,        +1.414213562373e-01,        +4.405528266220e-02,        -7.290106674680e-02,        -2.836685289076e-02,        -5.121905074464e-02,        +2.013114008782e-01,        +3.178701123379e-02
 1.05600000e+02,        +1.414213562373e-01,        +1.242530318659e-01,        +6.178951655816e-03,        +4.288891902086e-02,        -7.360228956694e-02,        +4.289299443064e-02,        -7.359467573450e-02,        +1.414213562373e-01,        +4.288891902086e-02,        -7.360228956694e-02,        +2.022948217577e-01,        +3.093806890646e-02,        -2.986657492583e-02,        -5.026467748060e-02,        +1.414213562373e-01,        +4.289299443064e-02,        -7.359467573450e-02,        -2.986657492583e-02,        -5.026467748060e-02,        +2.022944538215e-01,        +3.100574953754e-02
 1.07200000e+02,        +1.414213562373e-01,        +1.244321586392e-01,        +6.047778963231e-03,        +4.171503938178e-02,        -7.427765237583e-02,        +4.171922089224e-02,        -7.426978030101e-02,        +1.414213562373e-01,        +4.171503938178e-02,        -7.427765237583e-02,        +2.032518479674e-01,        +3.012970908617e-02,        -3.133414931887e-02,        -4.926875707039e-02,        +1.414213562373e-01,        +4.171922089224e-02,        -7.426978030101e-02,        -3.133414931887e-02,        -4.926875707039e-02,        +2.032519045184e-01,        +3.019877992486e-02
 1.08800000e+02,        +1.414213562373e-01,        +1.246070435497e-01,        +5.911062841688e-03,        +4.052995222006e-02,        -7.493430201920e-02,        +4.053425277560e-02,        -7.492616167424e-02,        +1.414213562373e-01,        +4.052995222006e-02,        -7.493430201920e-02,        +2.041827269203e-01,        +2.929650478304e-02,        -3.276856357131e-02,        -4.823235670363e-02,        +1.414213562373e-01,        +4.053425277560e-02,        -7.492616167424e-02,        -3.276856357131e-02,        -4.823235670363e-02,        +2.041832357528e-01,        +2.936696642341e-02
 1.10400000e+02,        +1.414213562373e-01,        +1.247775252181e-01,        +5.768920422158e-03,        +3.933395273259e-02,        -7.557202381800e-02,        +3.933838626654e-02,        -7.556360553909e-02,        +1.414213562373e-01,        +3.933395273259e-02,        -7.557202381800e-02,        +2.050869685059e-01,        +2.843932194230e-02,        -3.416883867976e-02,        -4.715656024779e-02,        +1.414213562373e-01,        +3.933838626654e-02,        -7.556360553909e-02,        -3.416883867976e-02,        -4.715656024779e-02,        +2.050879576933e-01,        +2.851117396453e-02
 1.12000000e+02,        +1.414213562373e-01,        +1.249434451615e-01,        +5.621473605125e-03,        +3.812734150763e-02,        -7.619060766632e-02,        +3.813192294102e-02,        -7.618190221701e-02,        +1.414213562373e-01,        +3.812734150763e-02,        -7.619060766632e-02,        +2.059641093063e-01,        +2.755902669895e-02,        -3.553402891858e-02,        -4.604246735295e-02,        +1.414213562373e-01,        +3.813192294102e-02,        -7.618190221701e-02,        -3.553402891858e-02,        -4.604246735295e-02,        +2.059656071566e-01,        +2.763226765439e-02
