        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 1.20000000e+02,        -1.869164184275e+01,        +1.629915084198e+02,        -4.401006000999e+00,        -6.797992908215e+01,        -4.401762140166e+00,        -6.797386453318e+01,        -4.401006000999e+00,        -6.797992908215e+01,        -5.837761966640e+00,        +1.843892245708e+01,        -7.769649846740e+00,        -1.363076516501e+02,        -4.401762140166e+00,        -6.797386453318e+01,        -7.769649846740e+00,        -1.363076516501e+02,        -5.834199482076e+00,        +1.849808857754e+01
 1.21600000e+02,        -1.878757222531e+01,        +1.634465129605e+02,        -4.400983605316e+00,        -6.889369910027e+01,        -4.401776242686e+00,        -6.888747332294e+01,        -4.400983605316e+00,        -6.889369910027e+01,        -5.794226558159e+00,        +1.751300056743e+01,        -7.779234367650e+00,        -1.380338468854e+02,        -4.401776242686e+00,        -6.888747332294e+01,        -7.779234367650e+00,        -1.380338468854e+02,        -5.790699811272e+00,        +1.757310095848e+01
 1.23200000e+02,        -1.888176026426e+01,        +1.639320088878e+02,        -4.401004673738e+00,        -6.980775996501e+01,        -4.401834454441e+00,        -6.980136453647e+01,        -4.401004673738e+00,        -6.980775996501e+01,        -5.752640357343e+00,        +1.659031339097e+01,        -7.788552018069e+00,        -1.397590290142e+02,        -4.401834454441e+00,        -6.980136453647e+01,        -7.788552018069e+00,        -1.397590290142e+02,        -5.749149914032e+00,        +1.665134773928e+01
 1.24800000e+02,        -1.897394596579e+01,        +1.644481337372e+02,        -4.401070846931e+00,        -7.072210431424e+01,        -4.401938383178e+00,        -7.071553053931e+01,        -4.401070846931e+00,        -7.072210431424e+01,        -5.712969312885e+00,        +1.567072640815e+01,        -7.797600312711e+00,        -1.414832476632e+02,        -4.401938383178e+00,        -7.071553053931e+01,        -7.797600312711e+00,        -1.414832476632e+02,        -5.709515760466e+00,        +1.573269438711e+01
 1.26400000e+02,        -1.906385846953e+01,        +1.649949157338e+02,        -4.401183726213e+00,        -7.163672447993e+01,        -4.402089595541e+00,        -7.162996339388e+01,        -4.401183726213e+00,        -7.163672447993e+01,        -5.675181169755e+00,        +1.475410725055e+01,        -7.806376953102e+00,        -1.432065525732e+02,        -4.402089595541e+00,        -7.162996339388e+01,        -7.806376953102e+00,        -1.432065525732e+02,        -5.671765118394e+00,        +1.481700852149e+01
 1.28000000e+02,        -1.915121704141e+01,        +1.655722620600e+02,        -4.401344872540e+00,        -7.255161249555e+01,        -4.402289616038e+00,        -7.254465486716e+01,        -4.401344872540e+00,        -7.255161249555e+01,        -5.639245416272e+00,        +1.384032554036e+01,        -7.814879829946e+00,        -1.449289935824e+02,        -4.402289616038e+00,        -7.254465486716e+01,        -7.814879829946e+00,        -1.449289935824e+02,        -5.635867500431e+00,        +1.390415975404e+01
 1.29600000e+02,        -1.923573232993e+01,        +1.661799472131e+02,        -4.401555805508e+00,        -7.346676010380e+01,        -4.402539926021e+00,        -7.345959643857e+01,        -4.401555805508e+00,        -7.346676010380e+01,        -5.605133235410e+00,        +1.292925274544e+01,        -7.823107025778e+00,        -1.466506206097e+02,        -4.402539926021e+00,        -7.345959643857e+01,        -7.823107025778e+00,        -1.466506206097e+02,        -5.601794115301e+00,        +1.299401954392e+01
 1.31200000e+02,        -1.931710790176e+01,        +1.668176017043e+02,        -4.401818002383e+00,        -7.438215876444e+01,        -4.402841962695e+00,        -7.437477930802e+01,        -4.401818002383e+00,        -7.438215876444e+01,        -5.572817460101e+00,        +1.202076204920e+01,        -7.831056817946e+00,        -1.483714836360e+02,        -4.402841962695e+00,        -7.437477930802e+01,        -7.831056817946e+00,        -1.483714836360e+02,        -5.569517823153e+00,        +1.208646106807e+01
 1.32800000e+02,        -1.939504206662e+01,        +1.674847013900e+02,        -4.402132897154e+00,        -7.529779966232e+01,        -4.403197118135e+00,        -7.529019440420e+01,        -4.402132897154e+00,        -7.529779966232e+01,        -5.542272532319e+00,        +1.111472823454e+01,        -7.838727681947e+00,        -1.500916326865e+02,        -4.403197118135e+00,        -7.529019440420e+01,        -7.838727681947e+00,        -1.500916326865e+02,        -5.539013094652e+00,        +1.118135910544e+01
 1.34400000e+02,        -1.946922999484e+01,        +1.681805577583e+02,        -4.402501879614e+00,        -7.621367371558e+01,        -4.403606738336e+00,        -7.620583239302e+01,        -4.402501879614e+00,        -7.621367371558e+01,        -5.513474465749e+00,        +1.021102758100e+01,        -7.846118295167e+00,        -1.518111178097e+02,        -4.403606738336e+00,        -7.620583239302e+01,        -7.846118295167e+00,        -1.518111178097e+02,        -5.510255973656e+00,        +1.027858993454e+01
