        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 9.76000000e+01,        +7.071067811865e+00,        +6.164980007278e+00,        +3.373951698808e-01,        +2.429012872262e+00,        -3.497629401528e+00,        +2.429198155853e+00,        -3.497305429188e+00,        +7.071067811865e+00,        +2.429012872261e+00,        -3.497629401528e+00,        +9.856829760615e+00,        +1.728850161365e+00,        -1.103396059187e+00,        -2.730018373028e+00,        +7.071067811865e+00,        +2.429198155853e+00,        -3.497305429188e+00,        -1.103396059187e+00,        -2.730018373028e+00,        +9.856725395904e+00,        +1.731888904902e+00
 9.92000000e+01,        +7.071067811865e+00,        +6.174871263796e+00,        +3.323017187836e-01,        +2.373332533578e+00,        -3.535907443902e+00,        +2.373520618312e+00,        -3.535573238142e+00,        +7.071067811865e+00,        +2.373332533578e+00,        -3.535907443902e+00,        +9.910801050920e+00,        +1.695289697762e+00,        -1.184271611364e+00,        -2.691124384146e+00,        +7.071067811865e+00,        +2.373520618312e+00,        -3.535573238142e+00,        -1.184271611364e+00,        -2.691124384146e+00,        +9.910711246176e+00,        +1.698397085534e+00
 1.00800000e+02,        +7.071067811865e+00,        +6.184592664205e+00,        +3.269054758172e-01,        +2.317022162453e+00,        -3.573306614307e+00,        +2.317213452843e+00,        -3.572961628688e+00,        +7.071067811865e+00,        +2.317022162453e+00,        -3.573306614307e+00,        +9.963608789552e+00,        +1.660272046533e+00,        -1.263759218268e+00,        -2.649948903546e+00,        +7.071067811865e+00,        +2.317213452843e+00,        -3.572961628688e+00,        -1.263759218268e+00,        -2.649948903546e+00,        +9.963534833201e+00,        +1.663448346878e+00
 1.02400000e+02,        +7.071067811865e+00,        +6.194135535517e+00,        +3.212110703289e-01,        +2.260095130072e+00,        -3.609815169969e+00,        +2.260290077780e+00,        -3.609458860862e+00,        +7.071067811865e+00,        +2.260095130072e+00,        -3.609815169969e+00,        +1.001522126012e+01,        +1.623839851049e+00,        -1.341801463750e+00,        -2.606541467374e+00,        +7.071067811865e+00,        +2.260290077780e+00,        -3.609458860862e+00,        -1.341801463750e+00,        -2.606541467374e+00,        +1.001516446528e+01,        +1.627085286632e+00
 1.04000000e+02,        +7.071067811865e+00,        +6.203491309582e+00,        +3.152233807518e-01,        +2.202565089631e+00,        -3.645421551983e+00,        +2.202764194298e+00,        -3.645053381532e+00,        +7.071067811865e+00,        +2.202565089631e+00,        -3.645421551983e+00,        +1.006560825729e+01,        +1.586035976116e+00,        -1.418342641305e+00,        -2.560952644838e+00,        +7.071067811865e+00,        +2.202764194298e+00,        -3.645053381532e+00,        -1.418342641305e+00,        -2.560952644838e+00,        +1.006556995966e+01,        +1.589350722726e+00
 1.05600000e+02,        +7.071067811865e+00,        +6.212651531059e+00,        +3.089475330709e-01,        +2.144445974537e+00,        -3.680114394234e+00,        +2.144649784432e+00,        -3.679733833392e+00,        +7.071067811865e+00,        +2.144445974537e+00,        -3.680114394234e+00,        +1.011474105332e+01,        +1.546903459689e+00,        -1.493328746880e+00,        -2.513233985349e+00,        +7.071067811865e+00,        +2.144649784432e+00,        -3.679733833392e+00,        -1.493328746880e+00,        -2.513233985349e+00,        +1.011472260905e+01,        +1.550287645126e+00
 1.07200000e+02,        +7.071067811865e+00,        +6.221607865407e+00,        +3.023888990015e-01,        +2.085751996262e+00,        -3.713882532356e+00,        +2.085961108755e+00,        -3.713489063964e+00,        +7.071067811865e+00,        +2.085751996262e+00,        -3.713882532356e+00,        +1.016259236353e+01,        +1.506485467555e+00,        -1.566707470578e+00,        -2.463437967727e+00,        +7.071067811865e+00,        +2.085961108755e+00,        -3.713489063964e+00,        -1.566707470578e+00,        -2.463437967727e+00,        +1.016259514707e+01,        +1.509939170608e+00
 1.08800000e+02,        +7.071067811865e+00,        +6.230352106895e+00,        +2.955530938717e-01,        +2.026497641857e+00,        -3.746715012708e+00,        +2.026712703712e+00,        -3.746308134614e+00,        +7.071067811865e+00,        +2.026497641857e+00,        -3.746715012708e+00,        +1.020913631092e+01,        +1.464825250968e+00,        -1.638428187390e+00,        -2.411617951441e+00,        +7.071067811865e+00,        +2.026712703712e+00,        -3.746308134614e+00,        -1.638428187390e+00,        -2.411617951441e+00,        +1.020916171280e+01,        +1.468348500494e+00
 1.10400000e+02,        +7.071067811865e+00,        +6.238876186607e+00,        +2.884459742046e-01,        +1.966697671121e+00,        -3.778601101339e+00,        +1.966919378618e+00,        -3.778180329560e+00,        +7.071067811865e+00,        +1.966697671121e+00,        -3.778601101339e+00,        +1.025434838993e+01,        +1.421966107217e+00,        -1.708441947061e+00,        -2.357828129869e+00,        +7.071067811865e+00,        +1.966919378618e+00,        -3.778180329560e+00,        -1.708441947061e+00,        -2.357828129869e+00,        +1.025439781457e+01,        +1.425558881307e+00
 1.12000000e+02,        +7.071067811865e+00,        +6.247172180431e+00,        +2.810736349950e-01,        +1.906367113419e+00,        -3.809530292950e+00,        +1.906596212297e+00,        -3.809095164853e+00,        +7.071067811865e+00,        +1.906367113419e+00,        -3.809530292950e+00,        +1.029820542963e+01,        +1.377951343083e+00,        -1.776701463233e+00,        -2.302123485531e+00,        +7.071067811865e+00,        +1.906596212297e+00,        -3.809095164853e+00,        -1.776701463233e+00,        -2.302123485531e+00,        +1.029828029307e+01,        +1.381613568333e+00
