        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.10400000e+02,        +7.287792638404e-13,        +7.511820619035e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.075192978621e-13,        +9.510468290641e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.067880972994e-13,        +9.510306823376e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +7.300107123710e-13,        +7.503159272403e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.126519733004e-13,        +9.437798119977e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.119172755332e-13,        +9.437635353405e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +7.312321850464e-13,        +7.494498670529e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.177503774931e-13,        +9.366110640080e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.170121188271e-13,        +9.365944833562e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +7.324429573502e-13,        +7.485839830017e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.228133944374e-13,        +9.295421194470e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.220715138026e-13,        +9.295250583905e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +7.336423110289e-13,        +7.477183825727e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.278399762734e-13,        +9.225744250202e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.270944152359e-13,        +9.225567049639e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +7.348295346303e-13,        +7.468531788279e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.328291410497e-13,        +9.157093431618e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.320798438163e-13,        +9.156907834886e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +7.360039240432e-13,        +7.459884901666e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.377799704753e-13,        +9.089481554505e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.370268838919e-13,        +9.089285736837e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.21600000e+02,        +7.371647830380e-13,        +7.451244400951e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.426916076639e-13,        +9.022920660556e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.419346812071e-13,        +9.022712780234e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.23200000e+02,        +7.383114238083e-13,        +7.442611570040e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.475632548765e-13,        +8.957422052085e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.468024406400e-13,        +8.957200252083e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.24800000e+02,        +7.394431675097e-13,        +7.433987739531e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.523941712684e-13,        +8.892996326921e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.516294239432e-13,        +8.892758736554e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.26400000e+02,        +7.405593447986e-13,        +7.425374284610e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.571836706456e-13,        +8.829653413427e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.564149474952e-13,        +8.829398150004e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +7.416592963669e-13,        +7.416772623009e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.619311192365e-13,        +8.767402605597e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.611583800663e-13,        +8.767127776073e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.29600000e+02,        +7.427423734733e-13,        +7.408184213007e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.666359334835e-13,        +8.706252598194e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.658591406064e-13,        +8.705956300817e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31200000e+02,        +7.438079384705e-13,        +7.399610551470e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.712975778606e-13,        +8.646211521886e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.705166960578e-13,        +8.645891847845e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.32800000e+02,        +7.448553653262e-13,        +7.391053171929e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.759155627219e-13,        +8.587286978362e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.751305591990e-13,        +8.586942013429e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.34400000e+02,        +7.458840401387e-13,        +7.382513642692e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.804894421855e-13,        +8.529486075414e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.797002865263e-13,        +8.529113901568e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +7.468933616444e-13,        +7.373993564976e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.850188120592e-13,        +8.472815461961e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.842254761748e-13,        +8.472414159009e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.37600000e+02,        +7.478827417183e-13,        +7.365494571079e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.895033078124e-13,        +8.417281363031e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.887057658882e-13,        +8.416849010204e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.39200000e+02,        +7.488516058654e-13,        +7.357018322566e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.939426025989e-13,        +8.362889614693e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.931408310390e-13,        +8.362424292223e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.40800000e+02,        +7.497993937034e-13,        +7.348566508482e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.983364053380e-13,        +8.309645698959e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.975303827073e-13,        +8.309145489635e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.42400000e+02,        +7.507255594339e-13,        +7.340140843587e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.026844588568e-13,        +8.257554778688e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.018741658221e-13,        +8.257017769374e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +7.516295723052e-13,        +7.331743066608e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.069865381018e-13,        +8.206621732512e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.061719573711e-13,        +8.206046015631e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.45600000e+02,        +7.525109170617e-13,        +7.323374938520e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.112424484240e-13,        +8.156851189836e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.104235646862e-13,        +8.156234864814e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.47200000e+02,        +7.533690943829e-13,        +7.315038240845e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.154520239445e-13,        +8.108247565957e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.146288238083e-13,        +8.107588740616e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.48800000e+02,        +7.542036213102e-13,        +7.306734773967e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.196151260075e-13,        +8.060815097373e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.187875979415e-13,        +8.060111889273e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.50400000e+02,        +7.550140316605e-13,        +7.298466355483e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.237316417265e-13,        +8.014557877344e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.228997760006e-13,        +8.013808415059e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +7.557998764279e-13,        +7.290234818566e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.278014826324e-13,        +7.969479891791e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.269652712607e-13,        +7.968682316124e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.53600000e+02,        +7.565607241722e-13,        +7.282042010360e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.318245834291e-13,        +7.925585055615e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.309840201162e-13,        +7.924737520747e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.55200000e+02,        +7.572961613945e-13,        +7.273889790394e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.358009008678e-13,        +7.882877249543e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.349559809574e-13,        +7.881977924100e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.56800000e+02,        +7.580057929002e-13,        +7.265780029024e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.397304127452e-13,        +7.841360357592e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.388811331735e-13,        +7.840407425651e-13,        +0.000000000000e+00,        +0.000000000000e+00
