x,v
1.000000e-12,2.818906e-06
2.434147e-12,3.084943e-06
5.925072e-12,3.512316e-06
1.442250e-11,4.180144e-06
3.510647e-11,5.222980e-06
8.545432e-11,6.851117e-06
2.080084e-10,9.392520e-06
5.063230e-10,1.335872e-05
1.232465e-09,1.954766e-05
3.000000e-09,2.920424e-05
7.302441e-09,4.427069e-05
1.777522e-08,6.777717e-05
4.326749e-08,1.044511e-04
1.053194e-07,1.616671e-04
2.563630e-07,2.509288e-04
6.240251e-07,3.901751e-04
1.518969e-06,6.073648e-04
3.697394e-06,9.460146e-04
9.000000e-06,1.473643e-03
