x,mag_db
-100.000000,-140.594048
-96.136532,-136.730580
-92.273064,-132.867112
-88.409596,-129.003644
-84.546128,-125.140176
-80.682660,-121.276708
-76.819192,-117.413240
-72.955724,-113.549772
-69.092256,-109.686303
-65.228787,-105.822835
-61.365319,-101.959367
-57.501851,-98.095899
-53.638383,-94.232431
-49.774915,-90.368963
-45.911447,-86.505495
-42.047979,-82.642027
-38.184511,-78.778559
-34.321043,-74.915091
-30.457575,-71.051623
