x,mag_db
-100.000000,-140.594048
-96.136532,-136.730536
-92.273064,-132.867035
-88.409596,-129.003566
-84.546128,-125.140097
-80.682660,-121.276628
-76.819192,-117.413160
-72.955724,-113.549691
-69.092256,-109.686221
-65.228787,-105.822749
-61.365319,-101.959270
-57.501851,-98.095777
-53.638383,-94.232248
-49.774915,-90.368632
-45.911447,-86.504806
-42.047979,-82.640471
-38.184511,-78.772252
-34.321043,-74.900648
-30.457575,-71.021191
