        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J),              E_elec[5] (J),               E_mag[5] (J),               E_cap[5] (J),               E_ind[5] (J),              E_elec[6] (J),               E_mag[6] (J),               E_cap[6] (J),               E_ind[6] (J),              E_elec[7] (J),               E_mag[7] (J),               E_cap[7] (J),               E_ind[7] (J)
 9.60000000e+01,        +1.884732750839e-12,        +8.648326662608e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.082287579521e-12,        +2.464120746802e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.421501016309e-12,        +2.366243290525e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.667933601412e-12,        +2.059398630781e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651957471751e-12,        +2.052488667679e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.392941038589e-12,        +2.385446553126e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.258128402214e-12,        +1.612750331956e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +1.853860271399e-12,        +8.864840984933e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.118485735364e-12,        +2.466239130717e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.421054579348e-12,        +2.362854992296e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.664428981490e-12,        +2.078309805288e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.646536133161e-12,        +2.070674595320e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.395880871826e-12,        +2.385066973811e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.284715717269e-12,        +1.618101849674e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.92000000e+01,        +1.824859953822e-12,        +9.089044561825e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.152513679602e-12,        +2.466946893024e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.420992219524e-12,        +2.361491249737e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.664989002303e-12,        +2.102161997905e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645451887091e-12,        +2.093842873646e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.399762049322e-12,        +2.386587613206e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.310214455473e-12,        +1.622439564800e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00800000e+02,        +1.797772151687e-12,        +9.321826383579e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.183931135362e-12,        +2.466333176236e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.421300781358e-12,        +2.362226762925e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.670093867607e-12,        +2.131277871159e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.649171014519e-12,        +2.122322717348e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.404506522234e-12,        +2.390030609860e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.334343143538e-12,        +1.625772813325e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02400000e+02,        +1.772647387494e-12,        +9.564181587290e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.212394850693e-12,        +2.464561668727e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.421991614829e-12,        +2.365185540157e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.680282397106e-12,        +2.166028902031e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.658221006293e-12,        +2.156497613960e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.410053651639e-12,        +2.395471411374e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.356872682368e-12,        +1.628158891530e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +1.749548147506e-12,        +9.817229538251e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.237670819014e-12,        +2.461867740521e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.423114768903e-12,        +2.370544325072e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.696162855382e-12,        +2.206837797890e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.673201715116e-12,        +2.196807089890e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.416375573876e-12,        +2.403043014617e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.377634641857e-12,        +1.629703173718e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +1.728551055761e-12,        +1.008223591134e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.259642630314e-12,        +2.458553110661e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.424770981783e-12,        +2.378534324273e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718423942450e-12,        +2.254180687363e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.694796563335e-12,        +2.243748094081e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.423490608291e-12,        +2.412938506507e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.396527464483e-12,        +1.630557613688e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +1.709749536508e-12,        +1.036063985720e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.278315099978e-12,        +2.454978200691e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.427120878777e-12,        +2.389441292568e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.747845699415e-12,        +2.308588833176e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.723783492035e-12,        +2.297875703171e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.431474036599e-12,        +2.425411927169e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.413520016244e-12,        +1.630917651650e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08800000e+02,        +1.693257110427e-12,        +1.065408769693e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.293812755878e-12,        +2.451552532974e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.430391008881e-12,        +2.403604061872e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.785309913517e-12,        +2.370649318315e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.761045139205e-12,        +2.359802535320e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.440465790764e-12,        +2.440777528198e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.428652174664e-12,        +1.631017704453e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10400000e+02,        +1.679211520364e-12,        +1.096447508762e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.306373213800e-12,        +2.448723653301e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.434876558256e-12,        +2.421411547607e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.831809249029e-12,        +2.441003698955e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.807577337316e-12,        +2.430195767111e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.450674797903e-12,        +2.459407474828e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.442032417451e-12,        +1.631125534744e-12,        +0.000000000000e+00,        +0.000000000000e+00
