 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 1.89816588e-11  7.36773062e-01  7.36766932e-01  7.36767648e-01  7.36787823e-01  7.30300674e-01  7.30277563e-01  7.30304066e-01  7.30319442e-01 
 1.94484293e-11  7.36777925e-01  7.36762404e-01  7.36767181e-01  7.36790907e-01  7.30294066e-01  7.30269791e-01  7.30309800e-01  7.30314192e-01 
 1.98928566e-11  7.36780343e-01  7.36756738e-01  7.36770980e-01  7.36792124e-01  7.30284762e-01  7.30263891e-01  7.30313906e-01  7.30306783e-01 
 2.04116399e-11  7.36779214e-01  7.36749753e-01  7.36778758e-01  7.36790421e-01  7.30271831e-01  7.30259900e-01  7.30314915e-01  7.30296411e-01 
 2.08878675e-11  7.36774361e-01  7.36744306e-01  7.36786755e-01  7.36785796e-01  7.30260046e-01  7.30259252e-01  7.30311171e-01  7.30286846e-01 
 2.13435894e-11  7.36767077e-01  7.36741063e-01  7.36792974e-01  7.36779202e-01  7.30250796e-01  7.30261016e-01  7.30303231e-01  7.30279203e-01 
 2.17880606e-11  7.36758847e-01  7.36740473e-01  7.36796006e-01  7.36771787e-01  7.30245119e-01  7.30264227e-01  7.30292083e-01  7.30274351e-01 
 2.23135065e-11  7.36750089e-01  7.36743342e-01  7.36794515e-01  7.36763693e-01  7.30243483e-01  7.30268475e-01  7.30276779e-01  7.30272699e-01 
 2.28034746e-11  7.36744947e-01  7.36749056e-01  7.36788372e-01  7.36758509e-01  7.30246348e-01  7.30271576e-01  7.30263108e-01  7.30274829e-01 
 2.33222088e-11  7.36744334e-01  7.36757134e-01  7.36778486e-01  7.36756926e-01  7.30252202e-01  7.30272754e-01  7.30252238e-01  7.30279628e-01 
 2.37700017e-11  7.36748227e-01  7.36764635e-01  7.36769071e-01  7.36759222e-01  7.30257829e-01  7.30271523e-01  7.30247376e-01  7.30284497e-01 
 2.41961906e-11  7.36755385e-01  7.36771199e-01  7.36761259e-01  7.36764353e-01  7.30262146e-01  7.30268354e-01  7.30247080e-01  7.30288504e-01 
 2.46311808e-11  7.36765118e-01  7.36776467e-01  7.36756191e-01  7.36771779e-01  7.30264228e-01  7.30263469e-01  7.30250531e-01  7.30290875e-01 
 2.51725538e-11  7.36778203e-01  7.36780287e-01  7.36755742e-01  7.36782190e-01  7.30262281e-01  7.30256250e-01  7.30257716e-01  7.30290300e-01 
 2.56588941e-11  7.36788630e-01  7.36781175e-01  7.36761155e-01  7.36790833e-01  7.30256044e-01  7.30250007e-01  7.30264373e-01  7.30286209e-01 
 2.61164238e-11  7.36795599e-01  7.36780364e-01  7.36770479e-01  7.36796943e-01  7.30246888e-01  7.30245531e-01  7.30268712e-01  7.30279669e-01 
 2.66327936e-11  7.36798957e-01  7.36778765e-01  7.36783731e-01  7.36800412e-01  7.30234477e-01  7.30243164e-01  7.30269344e-01  7.30270456e-01 
 2.70785289e-11  7.36797971e-01  7.36777900e-01  7.36795350e-01  7.36800346e-01  7.30223812e-01  7.30243678e-01  7.30265417e-01  7.30262330e-01 
 2.75440624e-11  7.36793938e-01  7.36778594e-01  7.36805377e-01  7.36797803e-01  7.30214748e-01  7.30246451e-01  7.30256871e-01  7.30255245e-01 
 2.81031899e-11  7.36787436e-01  7.36782591e-01  7.36812139e-01  7.36793175e-01  7.30208842e-01  7.30251555e-01  7.30242236e-01  7.30250390e-01 
 2.86332073e-11  7.36782355e-01  7.36789707e-01  7.36812406e-01  7.36789309e-01  7.30208903e-01  7.30256616e-01  7.30226801e-01  7.30250107e-01 
 2.91125735e-11  7.36780762e-01  7.36798412e-01  7.36808084e-01  7.36787896e-01  7.30213045e-01  7.30260105e-01  7.30214335e-01  7.30253111e-01 
 2.96302464e-11  7.36783821e-01  7.36809019e-01  7.36800568e-01  7.36789892e-01  7.30220000e-01  7.30261615e-01  7.30205291e-01  7.30258525e-01 
 3.01054954e-11  7.36791320e-01  7.36818586e-01  7.36793471e-01  7.36795290e-01  7.30226642e-01  7.30260520e-01  7.30202356e-01  7.30263979e-01 
 3.06084057e-11  7.36803318e-01  7.36827192e-01  7.36788531e-01  7.36804216e-01  7.30231790e-01  7.30256934e-01  7.30204713e-01  7.30268595e-01 
 3.11950355e-11  7.36819929e-01  7.36834046e-01  7.36788975e-01  7.36816936e-01  7.30233104e-01  7.30250794e-01  7.30212090e-01  7.30270720e-01 
 3.17797109e-11  7.36835723e-01  7.36837278e-01  7.36797058e-01  7.36829512e-01  7.30228234e-01  7.30244512e-01  7.30220483e-01  7.30268460e-01 
