 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.22720000e+11 -5.37288206e-01 -5.36577487e-01 -4.72743424e+01 -4.72743424e+01 -1.65933130e+02 -1.70658410e+02 -9.13393688e+01 -9.13393689e+01 
 1.22800000e+11 -5.38501660e-01 -5.37712287e-01 -4.72224251e+01 -4.72224251e+01 -1.66024057e+02 -1.70752890e+02 -9.15288995e+01 -9.15288996e+01 
 1.22880000e+11 -5.39721804e-01 -5.38853500e-01 -4.71702714e+01 -4.71702714e+01 -1.66115112e+02 -1.70847498e+02 -9.17185810e+01 -9.17185812e+01 
 1.22960000e+11 -5.40948699e-01 -5.40001186e-01 -4.71178804e+01 -4.71178805e+01 -1.66206296e+02 -1.70942235e+02 -9.19084152e+01 -9.19084153e+01 
 1.23040000e+11 -5.42182406e-01 -5.41155404e-01 -4.70652513e+01 -4.70652514e+01 -1.66297610e+02 -1.71037101e+02 -9.20984036e+01 -9.20984037e+01 
 1.23120000e+11 -5.43422989e-01 -5.42316217e-01 -4.70123832e+01 -4.70123833e+01 -1.66389056e+02 -1.71132098e+02 -9.22885480e+01 -9.22885482e+01 
 1.23200000e+11 -5.44670511e-01 -5.43483686e-01 -4.69592752e+01 -4.69592753e+01 -1.66480633e+02 -1.71227227e+02 -9.24788502e+01 -9.24788503e+01 
 1.23280000e+11 -5.45925036e-01 -5.44657874e-01 -4.69059265e+01 -4.69059265e+01 -1.66572343e+02 -1.71322489e+02 -9.26693120e+01 -9.26693121e+01 
 1.23360000e+11 -5.47186630e-01 -5.45838844e-01 -4.68523360e+01 -4.68523360e+01 -1.66664187e+02 -1.71417884e+02 -9.28599352e+01 -9.28599353e+01 
 1.23440000e+11 -5.48455358e-01 -5.47026661e-01 -4.67985030e+01 -4.67985030e+01 -1.66756166e+02 -1.71513414e+02 -9.30507218e+01 -9.30507219e+01 
 1.23520000e+11 -5.49731288e-01 -5.48221390e-01 -4.67444265e+01 -4.67444266e+01 -1.66848282e+02 -1.71609080e+02 -9.32416738e+01 -9.32416739e+01 
 1.23600000e+11 -5.51014487e-01 -5.49423098e-01 -4.66901057e+01 -4.66901057e+01 -1.66940534e+02 -1.71704883e+02 -9.34327931e+01 -9.34327932e+01 
 1.23680000e+11 -5.52305023e-01 -5.50631850e-01 -4.66355395e+01 -4.66355396e+01 -1.67032925e+02 -1.71800824e+02 -9.36240819e+01 -9.36240820e+01 
 1.23760000e+11 -5.53602966e-01 -5.51847715e-01 -4.65807272e+01 -4.65807273e+01 -1.67125455e+02 -1.71896903e+02 -9.38155423e+01 -9.38155424e+01 
 1.23840000e+11 -5.54908387e-01 -5.53070762e-01 -4.65256678e+01 -4.65256679e+01 -1.67218126e+02 -1.71993123e+02 -9.40071764e+01 -9.40071766e+01 
 1.23920000e+11 -5.56221358e-01 -5.54301060e-01 -4.64703604e+01 -4.64703604e+01 -1.67310938e+02 -1.72089484e+02 -9.41989866e+01 -9.41989867e+01 
 1.24000000e+11 -5.57541949e-01 -5.55538681e-01 -4.64148040e+01 -4.64148040e+01 -1.67403892e+02 -1.72185986e+02 -9.43909750e+01 -9.43909751e+01 
 1.24080000e+11 -5.58870235e-01 -5.56783694e-01 -4.63589977e+01 -4.63589977e+01 -1.67496991e+02 -1.72282633e+02 -9.45831440e+01 -9.45831441e+01 
 1.24160000e+11 -5.60206290e-01 -5.58036174e-01 -4.63029406e+01 -4.63029406e+01 -1.67590234e+02 -1.72379423e+02 -9.47754961e+01 -9.47754962e+01 
 1.24240000e+11 -5.61550189e-01 -5.59296194e-01 -4.62466317e+01 -4.62466318e+01 -1.67683623e+02 -1.72476359e+02 -9.49680336e+01 -9.49680337e+01 
 1.24320000e+11 -5.62902009e-01 -5.60563827e-01 -4.61900701e+01 -4.61900702e+01 -1.67777159e+02 -1.72573442e+02 -9.51607590e+01 -9.51607592e+01 
 1.24400000e+11 -5.64261827e-01 -5.61839150e-01 -4.61332549e+01 -4.61332549e+01 -1.67870843e+02 -1.72670673e+02 -9.53536751e+01 -9.53536752e+01 
 1.24480000e+11 -5.65629721e-01 -5.63122239e-01 -4.60761850e+01 -4.60761850e+01 -1.67964676e+02 -1.72768052e+02 -9.55467842e+01 -9.55467844e+01 
 1.24560000e+11 -5.67005771e-01 -5.64413171e-01 -4.60188596e+01 -4.60188596e+01 -1.68058661e+02 -1.72865582e+02 -9.57400893e+01 -9.57400894e+01 
 1.24640000e+11 -5.68390057e-01 -5.65712026e-01 -4.59612775e+01 -4.59612776e+01 -1.68152796e+02 -1.72963262e+02 -9.59335929e+01 -9.59335930e+01 
 1.24720000e+11 -5.69782661e-01 -5.67018883e-01 -4.59034380e+01 -4.59034380e+01 -1.68247085e+02 -1.73061095e+02 -9.61272979e+01 -9.61272980e+01 
 1.24800000e+11 -5.71183667e-01 -5.68333823e-01 -4.58453400e+01 -4.58453400e+01 -1.68341528e+02 -1.73159082e+02 -9.63212072e+01 -9.63212073e+01 
 1.24880000e+11 -5.72593157e-01 -5.69656929e-01 -4.57869824e+01 -4.57869824e+01 -1.68436126e+02 -1.73257224e+02 -9.65153236e+01 -9.65153237e+01 
 1.24960000e+11 -5.74011217e-01 -5.70988282e-01 -4.57283644e+01 -4.57283644e+01 -1.68530881e+02 -1.73355521e+02 -9.67096502e+01 -9.67096503e+01 
 1.25040000e+11 -5.75437933e-01 -5.72327968e-01 -4.56694849e+01 -4.56694849e+01 -1.68625793e+02 -1.73453976e+02 -9.69041900e+01 -9.69041901e+01 
 1.25120000e+11 -5.76873394e-01 -5.73676072e-01 -4.56103429e+01 -4.56103429e+01 -1.68720865e+02 -1.73552590e+02 -9.70989462e+01 -9.70989463e+01 
 1.25200000e+11 -5.78317687e-01 -5.75032681e-01 -4.55509373e+01 -4.55509374e+01 -1.68816096e+02 -1.73651363e+02 -9.72939218e+01 -9.72939219e+01 
 1.25280000e+11 -5.79770904e-01 -5.76397883e-01 -4.54912673e+01 -4.54912674e+01 -1.68911490e+02 -1.73750297e+02 -9.74891202e+01 -9.74891203e+01 
 1.25360000e+11 -5.81233134e-01 -5.77771768e-01 -4.54313318e+01 -4.54313318e+01 -1.69007046e+02 -1.73849393e+02 -9.76845447e+01 -9.76845448e+01 
 1.25440000e+11 -5.82704472e-01 -5.79154425e-01 -4.53711296e+01 -4.53711297e+01 -1.69102766e+02 -1.73948653e+02 -9.78801986e+01 -9.78801988e+01 
 1.25520000e+11 -5.84185011e-01 -5.80545946e-01 -4.53106599e+01 -4.53106599e+01 -1.69198652e+02 -1.74048078e+02 -9.80760855e+01 -9.80760856e+01 
 1.25600000e+11 -5.85674846e-01 -5.81946425e-01 -4.52499215e+01 -4.52499215e+01 -1.69294704e+02 -1.74147669e+02 -9.82722087e+01 -9.82722088e+01 
 1.25680000e+11 -5.87174074e-01 -5.83355957e-01 -4.51889134e+01 -4.51889135e+01 -1.69390925e+02 -1.74247427e+02 -9.84685719e+01 -9.84685720e+01 
 1.25760000e+11 -5.88682793e-01 -5.84774637e-01 -4.51276346e+01 -4.51276346e+01 -1.69487315e+02 -1.74347354e+02 -9.86651788e+01 -9.86651789e+01 
 1.25840000e+11 -5.90201104e-01 -5.86202563e-01 -4.50660840e+01 -4.50660840e+01 -1.69583875e+02 -1.74447451e+02 -9.88620331e+01 -9.88620332e+01 
 1.25920000e+11 -5.91729107e-01 -5.87639834e-01 -4.50042605e+01 -4.50042605e+01 -1.69680608e+02 -1.74547720e+02 -9.90591385e+01 -9.90591386e+01 
 1.26000000e+11 -5.93266904e-01 -5.89086549e-01 -4.49421630e+01 -4.49421630e+01 -1.69777515e+02 -1.74648161e+02 -9.92564990e+01 -9.92564991e+01 
 1.26080000e+11 -5.94814600e-01 -5.90542811e-01 -4.48797905e+01 -4.48797905e+01 -1.69874596e+02 -1.74748777e+02 -9.94541185e+01 -9.94541186e+01 
 1.26160000e+11 -5.96372301e-01 -5.92008722e-01 -4.48171418e+01 -4.48171418e+01 -1.69971854e+02 -1.74849569e+02 -9.96520010e+01 -9.96520012e+01 
 1.26240000e+11 -5.97940113e-01 -5.93484388e-01 -4.47542159e+01 -4.47542159e+01 -1.70069289e+02 -1.74950537e+02 -9.98501507e+01 -9.98501508e+01 
 1.26320000e+11 -5.99518146e-01 -5.94969916e-01 -4.46910117e+01 -4.46910117e+01 -1.70166904e+02 -1.75051684e+02 -1.00048572e+02 -1.00048572e+02 
 1.26400000e+11 -6.01106510e-01 -5.96465413e-01 -4.46275280e+01 -4.46275280e+01 -1.70264699e+02 -1.75153011e+02 -1.00247268e+02 -1.00247268e+02 
 1.26480000e+11 -6.02705318e-01 -5.97970988e-01 -4.45637637e+01 -4.45637637e+01 -1.70362677e+02 -1.75254519e+02 -1.00446245e+02 -1.00446245e+02 
 1.26560000e+11 -6.04314682e-01 -5.99486754e-01 -4.44997177e+01 -4.44997177e+01 -1.70460838e+02 -1.75356211e+02 -1.00645505e+02 -1.00645505e+02 
 1.26640000e+11 -6.05934720e-01 -6.01012823e-01 -4.44353889e+01 -4.44353889e+01 -1.70559184e+02 -1.75458086e+02 -1.00845055e+02 -1.00845055e+02 
 1.26720000e+11 -6.07565547e-01 -6.02549310e-01 -4.43707760e+01 -4.43707761e+01 -1.70657717e+02 -1.75560147e+02 -1.01044898e+02 -1.01044898e+02 
 1.26800000e+11 -6.09207285e-01 -6.04096333e-01 -4.43058781e+01 -4.43058781e+01 -1.70756438e+02 -1.75662396e+02 -1.01245039e+02 -1.01245039e+02 
 1.26880000e+11 -6.10860052e-01 -6.05654008e-01 -4.42406938e+01 -4.42406938e+01 -1.70855349e+02 -1.75764833e+02 -1.01445483e+02 -1.01445483e+02 
 1.26960000e+11 -6.12523974e-01 -6.07222457e-01 -4.41752220e+01 -4.41752221e+01 -1.70954451e+02 -1.75867461e+02 -1.01646234e+02 -1.01646234e+02 
 1.27040000e+11 -6.14199173e-01 -6.08801801e-01 -4.41094616e+01 -4.41094616e+01 -1.71053746e+02 -1.75970281e+02 -1.01847298e+02 -1.01847298e+02 
 1.27120000e+11 -6.15885779e-01 -6.10392166e-01 -4.40434113e+01 -4.40434114e+01 -1.71153235e+02 -1.76073294e+02 -1.02048679e+02 -1.02048680e+02 
 1.27200000e+11 -6.17583918e-01 -6.11993676e-01 -4.39770700e+01 -4.39770700e+01 -1.71252920e+02 -1.76176503e+02 -1.02250384e+02 -1.02250384e+02 
 1.27280000e+11 -6.19293722e-01 -6.13606460e-01 -4.39104364e+01 -4.39104365e+01 -1.71352803e+02 -1.76279908e+02 -1.02452416e+02 -1.02452416e+02 
 1.27360000e+11 -6.21015325e-01 -6.15230648e-01 -4.38435094e+01 -4.38435094e+01 -1.71452886e+02 -1.76383511e+02 -1.02654781e+02 -1.02654781e+02 
 1.27440000e+11 -6.22748861e-01 -6.16866372e-01 -4.37762877e+01 -4.37762877e+01 -1.71553169e+02 -1.76487315e+02 -1.02857484e+02 -1.02857484e+02 
 1.27520000e+11 -6.24494467e-01 -6.18513767e-01 -4.37087700e+01 -4.37087700e+01 -1.71653655e+02 -1.76591320e+02 -1.03060532e+02 -1.03060532e+02 
 1.27600000e+11 -6.26252283e-01 -6.20172969e-01 -4.36409551e+01 -4.36409552e+01 -1.71754345e+02 -1.76695529e+02 -1.03263929e+02 -1.03263929e+02 
 1.27680000e+11 -6.28022451e-01 -6.21844117e-01 -4.35728419e+01 -4.35728419e+01 -1.71855241e+02 -1.76799942e+02 -1.03467681e+02 -1.03467681e+02 
 1.27760000e+11 -6.29805115e-01 -6.23527352e-01 -4.35044289e+01 -4.35044289e+01 -1.71956345e+02 -1.76904563e+02 -1.03671794e+02 -1.03671794e+02 
 1.27840000e+11 -6.31600421e-01 -6.25222816e-01 -4.34357150e+01 -4.34357150e+01 -1.72057658e+02 -1.77009392e+02 -1.03876274e+02 -1.03876274e+02 
 1.27920000e+11 -6.33408518e-01 -6.26930657e-01 -4.33666988e+01 -4.33666988e+01 -1.72159183e+02 -1.77114431e+02 -1.04081126e+02 -1.04081126e+02 
 1.28000000e+11 -6.35229558e-01 -6.28651022e-01 -4.32973791e+01 -4.32973791e+01 -1.72260921e+02 -1.77219682e+02 -1.04286357e+02 -1.04286358e+02 
 1.28080000e+11 -6.37063694e-01 -6.30384061e-01 -4.32277545e+01 -4.32277545e+01 -1.72362874e+02 -1.77325147e+02 -1.04491974e+02 -1.04491974e+02 
 1.28160000e+11 -6.38911082e-01 -6.32129928e-01 -4.31578238e+01 -4.31578238e+01 -1.72465043e+02 -1.77430827e+02 -1.04697981e+02 -1.04697981e+02 
 1.28240000e+11 -6.40771883e-01 -6.33888779e-01 -4.30875856e+01 -4.30875856e+01 -1.72567431e+02 -1.77536725e+02 -1.04904386e+02 -1.04904386e+02 
 1.28320000e+11 -6.42646256e-01 -6.35660771e-01 -4.30170386e+01 -4.30170386e+01 -1.72670039e+02 -1.77642842e+02 -1.05111195e+02 -1.05111195e+02 
 1.28400000e+11 -6.44534368e-01 -6.37446065e-01 -4.29461814e+01 -4.29461814e+01 -1.72772870e+02 -1.77749180e+02 -1.05318414e+02 -1.05318414e+02 
 1.28480000e+11 -6.46436384e-01 -6.39244826e-01 -4.28750127e+01 -4.28750127e+01 -1.72875925e+02 -1.77855741e+02 -1.05526051e+02 -1.05526051e+02 
 1.28560000e+11 -6.48352475e-01 -6.41057220e-01 -4.28035311e+01 -4.28035311e+01 -1.72979206e+02 -1.77962527e+02 -1.05734112e+02 -1.05734112e+02 
 1.28640000e+11 -6.50282814e-01 -6.42883416e-01 -4.27317352e+01 -4.27317352e+01 -1.73082714e+02 -1.78069540e+02 -1.05942604e+02 -1.05942604e+02 
 1.28720000e+11 -6.52227577e-01 -6.44723587e-01 -4.26596236e+01 -4.26596237e+01 -1.73186453e+02 -1.78176782e+02 -1.06151534e+02 -1.06151534e+02 
 1.28800000e+11 -6.54186943e-01 -6.46577908e-01 -4.25871950e+01 -4.25871950e+01 -1.73290424e+02 -1.78284254e+02 -1.06360909e+02 -1.06360910e+02 
 1.28880000e+11 -6.56161093e-01 -6.48446556e-01 -4.25144479e+01 -4.25144479e+01 -1.73394629e+02 -1.78391960e+02 -1.06570737e+02 -1.06570737e+02 
 1.28960000e+11 -6.58150214e-01 -6.50329715e-01 -4.24413809e+01 -4.24413809e+01 -1.73499071e+02 -1.78499899e+02 -1.06781025e+02 -1.06781025e+02 
 1.29040000e+11 -6.60154494e-01 -6.52227568e-01 -4.23679925e+01 -4.23679926e+01 -1.73603750e+02 -1.78608076e+02 -1.06991780e+02 -1.06991780e+02 
 1.29120000e+11 -6.62174124e-01 -6.54140303e-01 -4.22942814e+01 -4.22942814e+01 -1.73708669e+02 -1.78716492e+02 -1.07203010e+02 -1.07203010e+02 
 1.29200000e+11 -6.64209300e-01 -6.56068113e-01 -4.22202459e+01 -4.22202460e+01 -1.73813831e+02 -1.78825148e+02 -1.07414723e+02 -1.07414723e+02 
 1.29280000e+11 -6.66260220e-01 -6.58011190e-01 -4.21458848e+01 -4.21458848e+01 -1.73919237e+02 -1.78934048e+02 -1.07626927e+02 -1.07626927e+02 
 1.29360000e+11 -6.68327087e-01 -6.59969734e-01 -4.20711963e+01 -4.20711964e+01 -1.74024890e+02 -1.79043193e+02 -1.07839629e+02 -1.07839629e+02 
 1.29440000e+11 -6.70410107e-01 -6.61943947e-01 -4.19961792e+01 -4.19961792e+01 -1.74130791e+02 -1.79152585e+02 -1.08052838e+02 -1.08052838e+02 
 1.29520000e+11 -6.72509489e-01 -6.63934033e-01 -4.19208318e+01 -4.19208318e+01 -1.74236943e+02 -1.79262226e+02 -1.08266562e+02 -1.08266563e+02 
 1.29600000e+11 -6.74625447e-01 -6.65940202e-01 -4.18451526e+01 -4.18451526e+01 -1.74343349e+02 -1.79372120e+02 -1.08480810e+02 -1.08480811e+02 
 1.29680000e+11 -6.76758198e-01 -6.67962667e-01 -4.17691401e+01 -4.17691401e+01 -1.74450010e+02 -1.79482267e+02 -1.08695591e+02 -1.08695591e+02 
 1.29760000e+11 -6.78907963e-01 -6.70001646e-01 -4.16927927e+01 -4.16927927e+01 -1.74556929e+02 -1.79592670e+02 -1.08910912e+02 -1.08910912e+02 
 1.29840000e+11 -6.81074967e-01 -6.72057357e-01 -4.16161088e+01 -4.16161088e+01 -1.74664107e+02 -1.79703332e+02 -1.09126782e+02 -1.09126783e+02 
 1.29920000e+11 -6.83259441e-01 -6.74130028e-01 -4.15390869e+01 -4.15390869e+01 -1.74771548e+02 -1.79814255e+02 -1.09343212e+02 -1.09343212e+02 
 1.30000000e+11 -6.85461618e-01 -6.76219887e-01 -4.14617254e+01 -4.14617254e+01 -1.74879254e+02 -1.79925441e+02 -1.09560209e+02 -1.09560209e+02 
 1.30080000e+11 -6.87681736e-01 -6.78327167e-01 -4.13840226e+01 -4.13840226e+01 -1.74987227e+02 -1.80036892e+02 -1.09777784e+02 -1.09777784e+02 
 1.30160000e+11 -6.89920037e-01 -6.80452106e-01 -4.13059769e+01 -4.13059769e+01 -1.75095469e+02 -1.80148611e+02 -1.09995945e+02 -1.09995945e+02 
 1.30240000e+11 -6.92176769e-01 -6.82594948e-01 -4.12275867e+01 -4.12275867e+01 -1.75203984e+02 -1.80260601e+02 -1.10214702e+02 -1.10214702e+02 
 1.30320000e+11 -6.94452184e-01 -6.84755938e-01 -4.11488503e+01 -4.11488504e+01 -1.75312772e+02 -1.80372863e+02 -1.10434066e+02 -1.10434066e+02 
 1.30400000e+11 -6.96746538e-01 -6.86935328e-01 -4.10697661e+01 -4.10697661e+01 -1.75421838e+02 -1.80485400e+02 -1.10654045e+02 -1.10654045e+02 
 1.30480000e+11 -6.99060093e-01 -6.89133376e-01 -4.09903323e+01 -4.09903324e+01 -1.75531183e+02 -1.80598215e+02 -1.10874650e+02 -1.10874650e+02 
 1.30560000e+11 -7.01393116e-01 -6.91350342e-01 -4.09105473e+01 -4.09105473e+01 -1.75640810e+02 -1.80711310e+02 -1.11095891e+02 -1.11095891e+02 
 1.30640000e+11 -7.03745878e-01 -6.93586493e-01 -4.08304093e+01 -4.08304094e+01 -1.75750722e+02 -1.80824689e+02 -1.11317779e+02 -1.11317779e+02 
 1.30720000e+11 -7.06118656e-01 -6.95842101e-01 -4.07499167e+01 -4.07499167e+01 -1.75860921e+02 -1.80938352e+02 -1.11540324e+02 -1.11540324e+02 
 1.30800000e+11 -7.08511733e-01 -6.98117443e-01 -4.06690675e+01 -4.06690675e+01 -1.75971409e+02 -1.81052304e+02 -1.11763537e+02 -1.11763538e+02 
 1.30880000e+11 -7.10925397e-01 -7.00412802e-01 -4.05878602e+01 -4.05878602e+01 -1.76082191e+02 -1.81166546e+02 -1.11987429e+02 -1.11987430e+02 
 1.30960000e+11 -7.13359941e-01 -7.02728465e-01 -4.05062928e+01 -4.05062928e+01 -1.76193267e+02 -1.81281082e+02 -1.12212011e+02 -1.12212012e+02 
 1.31040000e+11 -7.15815665e-01 -7.05064726e-01 -4.04243636e+01 -4.04243636e+01 -1.76304642e+02 -1.81395914e+02 -1.12437295e+02 -1.12437295e+02 
 1.31120000e+11 -7.18292874e-01 -7.07421886e-01 -4.03420708e+01 -4.03420708e+01 -1.76416317e+02 -1.81511044e+02 -1.12663291e+02 -1.12663291e+02 
 1.31200000e+11 -7.20791880e-01 -7.09800249e-01 -4.02594125e+01 -4.02594125e+01 -1.76528296e+02 -1.81626477e+02 -1.12890011e+02 -1.12890011e+02 
 1.31280000e+11 -7.23313000e-01 -7.12200128e-01 -4.01763869e+01 -4.01763869e+01 -1.76640582e+02 -1.81742214e+02 -1.13117468e+02 -1.13117468e+02 
 1.31360000e+11 -7.25856560e-01 -7.14621841e-01 -4.00929921e+01 -4.00929922e+01 -1.76753177e+02 -1.81858258e+02 -1.13345674e+02 -1.13345674e+02 
 1.31440000e+11 -7.28422888e-01 -7.17065713e-01 -4.00092263e+01 -4.00092263e+01 -1.76866084e+02 -1.81974612e+02 -1.13574639e+02 -1.13574640e+02 
 1.31520000e+11 -7.31012324e-01 -7.19532075e-01 -3.99250874e+01 -3.99250875e+01 -1.76979306e+02 -1.82091280e+02 -1.13804379e+02 -1.13804379e+02 
 1.31600000e+11 -7.33625211e-01 -7.22021265e-01 -3.98405737e+01 -3.98405737e+01 -1.77092847e+02 -1.82208264e+02 -1.14034903e+02 -1.14034904e+02 
 1.31680000e+11 -7.36261902e-01 -7.24533628e-01 -3.97556831e+01 -3.97556831e+01 -1.77206709e+02 -1.82325567e+02 -1.14266227e+02 -1.14266227e+02 
 1.31760000e+11 -7.38922754e-01 -7.27069516e-01 -3.96704137e+01 -3.96704137e+01 -1.77320895e+02 -1.82443192e+02 -1.14498362e+02 -1.14498363e+02 
 1.31840000e+11 -7.41608135e-01 -7.29629291e-01 -3.95847634e+01 -3.95847635e+01 -1.77435409e+02 -1.82561142e+02 -1.14731323e+02 -1.14731323e+02 
 1.31920000e+11 -7.44318418e-01 -7.32213317e-01 -3.94987304e+01 -3.94987304e+01 -1.77550254e+02 -1.82679421e+02 -1.14965122e+02 -1.14965122e+02 
 1.32000000e+11 -7.47053986e-01 -7.34821972e-01 -3.94123126e+01 -3.94123126e+01 -1.77665432e+02 -1.82798031e+02 -1.15199774e+02 -1.15199774e+02 
 1.32080000e+11 -7.49815227e-01 -7.37455637e-01 -3.93255079e+01 -3.93255079e+01 -1.77780947e+02 -1.82916977e+02 -1.15435292e+02 -1.15435292e+02 
