 time            v1              v2              v3             
 7.52800000e-12  1.45937703e+00  2.53659515e-01  2.53791932e-01 
 7.62800000e-12  1.48284791e+00  3.19738277e-01  3.19873983e-01 
 7.72800000e-12  1.49639403e+00  3.86268870e-01  3.86407218e-01 
 7.82800000e-12  1.49987860e+00  4.52585326e-01  4.52725486e-01 
 7.92800000e-12  1.49326643e+00  5.18028080e-01  5.18169029e-01 
 8.02800000e-12  1.47662428e+00  5.81950233e-01  5.82090744e-01 
 8.12800000e-12  1.45012022e+00  6.43723564e-01  6.43862213e-01 
 8.22800000e-12  1.41402187e+00  7.02744265e-01  7.02879443e-01 
 8.32800000e-12  1.36869377e+00  7.58438350e-01  7.58568283e-01 
 8.42800000e-12  1.31459362e+00  8.10266709e-01  8.10389489e-01 
 8.52800000e-12  1.25226774e+00  8.57729780e-01  8.57843400e-01 
 8.62800000e-12  1.18234548e+00  9.00371816e-01  9.00474213e-01 
 8.72800000e-12  1.10553292e+00  9.37784733e-01  9.37873835e-01 
 8.82800000e-12  1.02260571e+00  9.69611513e-01  9.69685293e-01 
 8.92800000e-12  9.34401240e-01  9.95549164e-01  9.95605692e-01 
 9.02800000e-12  8.41810205e-01  1.01535122e+00  1.01538871e+00 
 9.12800000e-12  7.45767583e-01  1.02882974e+00  1.02884663e+00 
 9.22800000e-12  6.47243207e-01  1.03585692e+00  1.03585189e+00 
 9.32800000e-12  5.47231975e-01  1.03636610e+00  1.03633811e+00 
 9.42800000e-12  4.46743795e-01  1.03035236e+00  1.03030075e+00 
 9.52800000e-12  3.46793395e-01  1.01787264e+00  1.01779708e+00 
 9.62800000e-12  2.48390070e-01  9.99045299e-01  9.98945881e-01 
 9.72800000e-12  1.52527494e-01  9.74049206e-01  9.73926425e-01 
 9.82800000e-12  6.01736831e-02  9.43122356e-01  9.42977122e-01 
 9.92800000e-12 -2.77387765e-02  9.06559942e-01  9.06393577e-01 
 1.00280000e-11 -1.10322148e-01  8.64711952e-01  8.64526171e-01 
 1.01280000e-11 -1.86742507e-01  8.17980268e-01  8.17777158e-01 
 1.02280000e-11 -2.56228163e-01  7.66815276e-01  7.66597261e-01 
 1.03280000e-11 -3.18077454e-01  7.11712007e-01  7.11481804e-01 
 1.04280000e-11 -3.71665826e-01  6.53205820e-01  6.52966394e-01 
 1.05280000e-11 -4.16452146e-01  5.91867654e-01  5.91622157e-01 
 1.06280000e-11 -4.51984163e-01  5.28298866e-01  5.28050579e-01 
 1.07280000e-11 -4.77903076e-01  4.63125704e-01  4.62877975e-01 
 1.08280000e-11 -4.93947158e-01  3.96993439e-01  3.96749618e-01 
 1.09280000e-11 -4.99954395e-01  3.30560216e-01  3.30323588e-01 
 1.10280000e-11 -4.95864126e-01  2.64490661e-01  2.64264386e-01 
 1.11280000e-11 -4.81717656e-01  1.99449318e-01  1.99236372e-01 
 1.12280000e-11 -4.57657833e-01  1.36093962e-01  1.35897080e-01 
 1.13280000e-11 -4.23927615e-01  7.50688736e-02  7.48905041e-02 
 1.14280000e-11 -3.80867606e-01  1.69981333e-02  1.68403960e-02 
 1.15280000e-11 -3.28912627e-01 -3.75209807e-02 -3.76563279e-02 
 1.16280000e-11 -2.68587316e-01 -8.79244169e-02 -8.80360018e-02 
 1.17280000e-11 -2.00500836e-01 -1.33687517e-01 -1.33774368e-01 
 1.18280000e-11 -1.25340723e-01 -1.74330846e-01 -1.74392401e-01 
 1.19280000e-11 -4.38659406e-02 -2.09425614e-01 -2.09461711e-01 
 1.20280000e-11  4.31007819e-02 -2.38598605e-01 -2.38609477e-01 
 1.21280000e-11  1.34681257e-01 -2.61536555e-01 -2.61522806e-01 
 1.22280000e-11  2.29950709e-01 -2.77989912e-01 -2.77952492e-01 
 1.23280000e-11  3.27947109e-01 -2.87775916e-01 -2.87716086e-01 
 1.24280000e-11  4.27680893e-01 -2.90780959e-01 -2.90700253e-01 
 1.25280000e-11  5.28144953e-01 -2.86962176e-01 -2.86862359e-01 
 1.26280000e-11  6.28324806e-01 -2.76348248e-01 -2.76231271e-01 
 1.27280000e-11  7.27208840e-01 -2.59039394e-01 -2.58907347e-01 
 1.28280000e-11  8.23798527e-01 -2.35206534e-01 -2.35061600e-01 
 1.29280000e-11  9.17118507e-01 -2.05089652e-01 -2.04934062e-01 
 1.30280000e-11  1.00622644e+00 -1.68995343e-01 -1.68831334e-01 
 1.31280000e-11  1.09022251e+00 -1.27293600e-01 -1.27123376e-01 
 1.32280000e-11  1.16825854e+00 -8.04138582e-02 -8.02395532e-02 
 1.33280000e-11  1.23954652e+00 -2.88403543e-02 -2.86640065e-02 
 1.34280000e-11  1.30336658e+00  2.68931417e-02  2.70696168e-02 
 1.35280000e-11  1.35907427e+00  8.62091602e-02  8.63839876e-02 
 1.36280000e-11  1.40610706e+00  1.48492854e-01  1.48664411e-01 
 1.37280000e-11  1.44399001e+00  2.13098726e-01  2.13265550e-01 
 1.38280000e-11  1.47234058e+00  2.79357688e-01  2.79518476e-01 
